record_id,pair,rejection_reason,source_phrase_clean,target_phrase_clean,query_phrase,source_url,raw_path,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_evidence,xml_target_text,notes
GLOSBE_DICT_a69e079f271054a6,"tay,en",source_numeric_or_punct_only,2,1,2,https://glosbe.com/tay/en/2,data/raw/html/static/tay_en/2.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_ecbc489e8426600c,"tay,en",target_cross_reference_or_invalid_note,bwah,undefined (see buax),bwah,https://glosbe.com/tay/en/bwah,data/raw/html/static/tay_en/bwah.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_965290256ae9b28d,"tay,en",target_cross_reference_or_invalid_note,hoyel,hojil,hoyel,https://glosbe.com/tay/en/hoyel,data/raw/html/static/tay_en/hoyel.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_03998820fc17601e,"tay,en",target_cross_reference_or_invalid_note,mavi,"""see m'abi""",mavi,https://glosbe.com/tay/en/mavi,data/raw/html/static/tay_en/mavi.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_33be8737eee121c8,"tay,en",target_cross_reference_or_invalid_note,moráu,"""not Atayal; incorrect entry""",moráu,https://glosbe.com/tay/en/mor%C3%A1u,data/raw/html/static/tay_en/mor%C3%A1u.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_35bdb2199f6b89ec,"tay,en",target_cross_reference_or_invalid_note,mumarah,"""incorrect entry""",mumarah,https://glosbe.com/tay/en/mumarah,data/raw/html/static/tay_en/mumarah.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_0ffd3fd67cbc51ce,"tay,en",target_cross_reference_or_invalid_note,mumarah,"""not Atayal word""",mumarah,https://glosbe.com/tay/en/mumarah,data/raw/html/static/tay_en/mumarah.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_2051dd8596b3bfa2,"tay,en",target_cross_reference_or_invalid_note,mwalukh,"""incorrect entry""",mwalukh,https://glosbe.com/tay/en/mwalukh,data/raw/html/static/tay_en/mwalukh.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_58dd26f2caeee95b,"tay,en",target_cross_reference_or_invalid_note,ngrasal,"""incorrect entry""",ngrasal,https://glosbe.com/tay/en/ngrasal,data/raw/html/static/tay_en/ngrasal.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_c8eb4078bc44582c,"tay,en",target_cross_reference_or_invalid_note,psalu' tuqiy,see (the road),psalu' tuqiy,https://glosbe.com/tay/en/psalu%27%20tuqiy,data/raw/html/static/tay_en/psalu%27%20tuqiy.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_909aa4a1e44afcca,"tay,en",target_cross_reference_or_invalid_note,qelis,"""see qilis""",qelis,https://glosbe.com/tay/en/qelis,data/raw/html/static/tay_en/qelis.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_67413013b7c8ec5a,"tay,en",target_cross_reference_or_invalid_note,qihuy,"""see qehuy or qehui""",qihuy,https://glosbe.com/tay/en/qihuy,data/raw/html/static/tay_en/qihuy.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_45ed7d9b48e591fa,"tay,en",target_cross_reference_or_invalid_note,vatúnukh,btunux,vatúnukh,https://glosbe.com/tay/en/vat%C3%BAnukh,data/raw/html/static/tay_en/vat%C3%BAnukh.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
GLOSBE_DICT_a004589dd6fb0864,"xsy,en",identical_source_target,usb,usb,usb,https://glosbe.com/xsy/en/usb,data/raw/html/static/xsy_en/usb.html,,,,,,,Excluded from lexical XML during final translation-quality filtering.
