pair,source_phrase_clean,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_supported_targets,mapping_different_targets,unmapped_targets,unattested_source_targets,decision
"ami,en",Cudad,no,,,book,,,,book,keep_all_structurally_valid_targets
"ami,en",Itini,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,這裡,here,here,,,,keep_all_structurally_valid_targets
"ami,en",Kawas,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,上帝、神、鬼,God; ghost; heaven,God; ghost,heaven,,,keep_all_structurally_valid_targets
"ami,en",Yihofa,no,,,Jehovah,,,,Jehovah,keep_all_structurally_valid_targets
"ami,en",a,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,1.連接詞; 2.依附詞,and,and,,,,keep_all_structurally_valid_targets
"ami,en",ako,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,我（屬格）,I,I,,,,keep_all_structurally_valid_targets
"ami,en",ato,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,和（並列結構標記）,and,and,,,,keep_all_structurally_valid_targets
"ami,en",cecay,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,一,one,one,,,,keep_all_structurally_valid_targets
"ami,en",ciira,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,他,he; him; she,he; him,she,,,keep_all_structurally_valid_targets
"ami,en",cingra,no,,,create; he,,,,create; he,keep_all_structurally_valid_targets
"ami,en",cowa,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,哪裡,little,,little,,,keep_all_structurally_valid_targets
"ami,en",futing,no,,,fish,,,,fish,keep_all_structurally_valid_targets
"ami,en",ina,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,媽媽,mom; mother; mum,mom; mother; mum,,,,keep_all_structurally_valid_targets
"ami,en",kaka,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,哥,brother; older brother; older sibling; older sister,brother; older brother,older sibling; older sister,,,keep_all_structurally_valid_targets
"ami,en",kako,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,我,I; me,I; me,,,,keep_all_structurally_valid_targets
"ami,en",kami,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,我們(排除式; 手紙,go; we,we,go,,,keep_all_structurally_valid_targets
"ami,en",kawra,no,,,but,,,,but,keep_all_structurally_valid_targets
"ami,en",kiso,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,你（主格）,you,you,,,,keep_all_structurally_valid_targets
"ami,en",kita,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,我們（包含式,we,we,,,,keep_all_structurally_valid_targets
"ami,en",ko,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,格位標記（主格）,do; from,,do; from,,,keep_all_structurally_valid_targets
"ami,en",loma',yes,Final_XML/Amis/Dictionary_Amis_ami.xml,家,house,house,,,,keep_all_structurally_valid_targets
"ami,en",maanan,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,任何,what,,,what,,keep_all_structurally_valid_targets
"ami,en",mama,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,爸爸,father,father,,,,keep_all_structurally_valid_targets
"ami,en",miheca,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,年,age; since; year,age; year,since,,,keep_all_structurally_valid_targets
"ami,en",nanom,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,水,water,,,water,,keep_all_structurally_valid_targets
"ami,en",nga'ay,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,好,if,,if,,,keep_all_structurally_valid_targets
"ami,en",nga'ayay,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,好的,respect,,respect,,,keep_all_structurally_valid_targets
"ami,en",nira,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,他的,her; his,his,her,,,keep_all_structurally_valid_targets
"ami,en",no,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,格位標記（屬格）,of,of,,,,keep_all_structurally_valid_targets
"ami,en",roma,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,另外,another; different; other,another; different; other,,,,keep_all_structurally_valid_targets
"ami,en",salikaka,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,兄弟姐妹,siblings; sister,siblings; sister,,,,keep_all_structurally_valid_targets
"ami,en",sowal,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,話語,language; say; state,language; say; state,,,,keep_all_structurally_valid_targets
"ami,en",tamdaw,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,人,man; perfect; root,man,perfect; root,,,keep_all_structurally_valid_targets
"ami,en",tayra,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,去,go,,,go,,keep_all_structurally_valid_targets
"ami,en",tireng,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,身體,body,,,body,,keep_all_structurally_valid_targets
"ami,en",to,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,格位標記(受格或斜格),when,,when,,,keep_all_structurally_valid_targets
"ami,en",wawa,yes,Final_XML/Amis/Dictionary_Amis_ami.xml,孩子,child; children; kids; offspring,child; children; kids; offspring,,,,keep_all_structurally_valid_targets
"ami,en",wina,no,,,mother,,,,mother,keep_all_structurally_valid_targets
"tay,en",'bli,no,,,bury,,,,bury,keep_all_structurally_valid_targets
"tay,en",'law,no,,,righthanded,,,,righthanded,keep_all_structurally_valid_targets
"tay,en",'tuxan,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,靈界,spirit realm,spirit realm,,,,keep_all_structurally_valid_targets
"tay,en",'txan utux,no,,,land of the spirits,,,,land of the spirits,keep_all_structurally_valid_targets
"tay,en",Gipun,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,日本,Japan,,,Japan,,keep_all_structurally_valid_targets
"tay,en",Mrhuw Wagiq,no,,,God,,,,God,keep_all_structurally_valid_targets
"tay,en",aba,no,,,father,,,,father,keep_all_structurally_valid_targets
"tay,en",abau,no,,,leaf,,,,leaf,keep_all_structurally_valid_targets
"tay,en",amuy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,女子名,flour; powder,,flour; powder,,,keep_all_structurally_valid_targets
"tay,en",ayang,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,湯; 煤油,oil,,,oil,,keep_all_structurally_valid_targets
"tay,en",babaw knryax,no,,,afternoon,,,,afternoon,keep_all_structurally_valid_targets
"tay,en",babaw,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,上面,on,,,on,,keep_all_structurally_valid_targets
"tay,en",baq ske''tayal su ka?,no,,,Do you speak Atayal?,,,,Do you speak Atayal?,keep_all_structurally_valid_targets
"tay,en",bazing,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,蛋,egg,,,egg,,keep_all_structurally_valid_targets
"tay,en",behuy,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,風,wind,,,wind,,keep_all_structurally_valid_targets
"tay,en",biacing,no,,,month; moon,,,,month; moon,keep_all_structurally_valid_targets
"tay,en",bilak,no,,,little; small,,,,little; small,keep_all_structurally_valid_targets
"tay,en",bingi',yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,一天、一宿兒; 一宿兒,day,day,,,,keep_all_structurally_valid_targets
