category,language,file,sentence_id,n_words,last_w_form
Grammar,Kanakanavu,Kanakanavu.xml,ap3_S_27,9,canumu.
Grammar,Kanakanavu,Kanakanavu.xml,14_S_8,11,ø
Grammar,Kanakanavu,Kanakanavu.xml,14_S_24,6,ni-musucaru=ku
Grammar,Seediq,Seediq.xml,ap2_S_4,10,qtaqi.
Grammar,Seediq,Seediq.xml,ap2_S_38,10,"kii,"
Grammar,Seediq,Seediq.xml,ap2_S_48,7,qita-an.
Grammar,Seediq,Seediq.xml,ap2_S_52,21,di.
Grammar,Seediq,Seediq.xml,10_S_18,5,hini
Grammar,Seediq,Seediq.xml,07_S_4,9,di
Grammar,Seediq,Seediq.xml,11_S_56,4,di
Grammar,Seediq,Seediq.xml,12_S_18,6,yaku
Grammar,Seediq,Seediq.xml,13_S_25,12,mesa
Grammar,Seediq,Seediq.xml,13_S_32,15,mesa
Grammar,Seediq,Seediq.xml,13_S_37,11,kari=daha
Grammar,Seediq,Seediq.xml,ap1_S_4,15,qsiya.
Grammar,Seediq,Seediq.xml,ap1_S_24,7,rnecux.
Grammar,Seediq,Seediq.xml,ap1_S_33,22,"han."""
Grammar,Seediq,Seediq.xml,ap1_S_44,10,di.
Grammar,Seediq,Seediq.xml,ap1_S_48,18,paru.
Grammar,Seediq,Seediq.xml,14_S_8,9,di
Grammar,Seediq,Seediq.xml,14_S_17,16,lmiqu
Grammar,Seediq,Seediq.xml,14_S_18,11,di.
Grammar,Seediq,Seediq.xml,14_S_22,12,birac=na
Grammar,Seediq,Seediq.xml,14_S_23,13,peni
Sentences,Bunun,Bunun.xml,60_S_9,12,ka-kaun-an=cia
Sentences,Bunun,Bunun.xml,60_S_16,7,asang
Sentences,Bunun,Bunun.xml,24_S_8,5,sai-a.
Sentences,Bunun,Bunun.xml,64_S_59b,1,sing'av.
Sentences,Bunun,Bunun.xml,55_S_29,7,sapal-an.
Sentences,Bunun,Bunun.xml,62_S_10,10,Ali=cia
Sentences,Kanakanavu,Kanakanavu.xml,1_S_41,3,ʉ
Sentences,Kanakanavu,Kanakanavu.xml,1_S_290,3,Namasia
Sentences,Kanakanavu,Kanakanavu.xml,1_S_391,5,cʉpʉʉng
Sentences,Kanakanavu,Kanakanavu.xml,1_S_419,2,tavaraa'ʉ
Sentences,Kanakanavu,Kanakanavu.xml,3_S_17,5,canumu.
Sentences,Kanakanavu,Kanakanavu.xml,3_S_67_v2,3,nguani
Sentences,Kanakanavu,Kanakanavu.xml,3_S_199,5,iisi.
Sentences,Kanakanavu,Kanakanavu.xml,3_S_268,3,inmana?
Sentences,Kanakanavu,Kanakanavu.xml,3_S_428,4,tuku?
Sentences,Kanakanavu,Kanakanavu.xml,3_S_459,6,(較好)
Sentences,Rukai,Rukai.xml,20200530-FW-Ryan_S_35,9,iya
Sentences,Rukai,Rukai.xml,20200529-FW-Ludwig_S_15,6,第二人稱單數.自由斜格
Sentences,Rukai,Rukai.xml,20200529-FW-Jess_S_6,6,臺灣大學.
Stories,Bunun,Bunun_bnNr-lazy-daughter_Hanaivaz.xml,bnNr-lazy-daughter_Hanaivaz_S_111,17,"'ang'ang"""
Stories,Bunun,Bunun_bnNr-lazy-daughter_Hanaivaz.xml,bnNr-lazy-daughter_Hanaivaz_S_113,16,"ang'ang"""
Stories,Rukai,Rukai_RukaiNr-naming_taugadhu.xml,RukaiNr-naming_taugadhu_S_38,18,patelre
Stories,Saisiyat,Saisiyat_SaiNr-election_lahi_ a taro_ babay.xml,SaiNr-election_lahi_ a taro_ babay_S_4,17,kikoso'
