example_record_id,page_number_one_based,field,original_value,clean_value,action,notes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0014,28,truku_line_clean,Uq-un hiya/laqi ka qlupas nii. 19,Uq-un hiya/laqi ka qlupas nii.,removed_trailing_form_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0077,39,truku_line_clean,S-lingis =na o yamu m-takur ka laqi nii. 31,S-lingis =na o yamu m-takur ka laqi nii.,removed_trailing_form_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0079,40,truku_line_clean,T-m-atak ska q-m-pah-an ka yaku..,T-m-atak ska q-m-pah-an ka yaku.,collapsed_sentence_final_repeated_period,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0094,42,chinese_translation_clean,,太陽已經下山了。,recovered_page_initial_translation_continuation_after_footnote,Translation appeared as the first text line on the next PDF page after a source footnote marker.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0094,42,truku_line_clean,Wada p-riyax ka hidaw da. 35,Wada p-riyax ka hidaw da.,removed_trailing_form_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0098,43,truku_line_clean,*Tna/Jima m-kan =ku n-hapuy da. 36,*Tna/Jima m-kan =ku n-hapuy da.,removed_trailing_form_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0106,44,chinese_translation_clean,已經在這裡了 42,已經在這裡了,removed_trailing_translation_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0156,67,chinese_translation_clean,鬼、神、祖靈) 81,鬼、神、祖靈),removed_trailing_translation_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0158,68,chinese_translation_clean,加大、後兩個詞彙是屬於「狀態」的加強 84。,加大、後兩個詞彙是屬於「狀態」的加強。,removed_trailing_translation_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0159,68,chinese_translation_clean,紅的) 85,紅的),removed_trailing_translation_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0163,72,chinese_translation_clean,衍生功能 92。,衍生功能。,removed_trailing_translation_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0197,82,chinese_translation_clean,我流口水了 108,我流口水了,removed_trailing_translation_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0201,83,truku_line_clean,S-bgihur da. 109,S-bgihur da.,removed_trailing_form_footnote_number,Raw text remains unchanged in examples_raw.jsonl.
