seq,page,form,meaning_zho,source_context,allow_affix_form_mismatch,note
1,53,a-mumul,即將出發,a- | mumul | 出發、走,,Page-image verified; Vision OCR missed the rightmost meaning cell.
38,64,ma-balud,被綁,ma- | balud | 綁,,Page-image verified; Vision OCR omitted the row number.
39,64,ma-belih,被翻,ma- | belih | 翻面、翻臉,,Page-image verified; Vision OCR omitted the row number.
54,66,ma-menah,長痔瘡,ma- | menah | 肛門,,Page-image verified; Vision OCR misread 痔瘡 and retained a footnote marker.
72,70,mi-misa,參加彌撒（天主教之禮拜）,mi- | misa | 彌撒（天主教之禮拜）,,Page-image verified; Vision OCR split the two-line meaning cell.
80,71,mi-lisin,慶祝豐年祭,mi- | lisin | 祭典、習俗,,Page-image verified; table continuation page was below OCR row-selection threshold.
81,71,mi-pana',射箭,mi- | pana' | 箭,,Page-image verified; table continuation page was below OCR row-selection threshold.
82,71,mi-piyu,吹奏,mi- | piyu | 哨子、笛子,,Page-image verified; table continuation page was below OCR row-selection threshold.
83,71,mi-salil,在撒網,mi- | salil | 網,,Page-image verified; table continuation page was below OCR row-selection threshold.
84,71,mi-sanek,在聞,mi- | sanek | 味道,,Page-image verified; table continuation page was below OCR row-selection threshold.
85,71,mi-sasing,在照相,mi- | sasing | 相片,,Page-image verified; table continuation page was below OCR row-selection threshold.
86,71,mi-tabaku,在抽菸,mi- | tabaku | 香煙,,Page-image verified; table continuation page was below OCR row-selection threshold.
113,77,mu-esus,放屁,mu- | esus | 屁,,Page-image verified; Vision OCR capitalized lowercase letters in the table row.
116,79,mu-bahel,飛,mu- | bahel- | 飛,,Page-image verified; Vision OCR merged the first cells.
120,79,mu-lesa',漏水,mu- | lesa'- | 漏水（雨）、滲水,,Page-image verified while adding source-table base forms; OCR read the final glottal mark as l.
125,80,na-sanal,今天上午（已過去的）,na- | sanal | 上午,,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.
126,80,na-sandeb,昨晚（當說話的時間點是中午之前使用）,na- | sandeb | 夜晚,,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.
136,82,ni-'neng,坐姿,ni- | 'neng- | 坐,,Page-image verified; Vision OCR dropped the glottal mark in the affixed form.
150,84,pa-tusuz,跪,pa- | tusuz | 膝蓋,,Page-image verified; Vision OCR capitalized lowercase letters in the table row.
151,85,pa-sepi,給予祝福,pa- | sepi- | 夢，延伸爲運氣、祝福,,Page-image verified while adding source-table base forms; OCR read final i as l.
154,85,pa-caliw,借（某物）給,pa- | caliw- | 借,,Page-image verified while adding source-table base forms; OCR duplicated l in the affixed form.
157,85,pa-daesu,給恩賜,pa- | daesu | 恩賜,,Page-image verified while adding source-table base forms; OCR read e as c in the affixed form.
158,85,pa-liluc,洗禮（受洗）,pa- | liluc- | 洗禮,,Page-image verified while adding source-table base forms; OCR omitted the base-meaning cell.
159,85,pa-tawid,使之驚嚇,pa- | tawid- | 受驚,,Page-image verified while adding source-table base forms; OCR omitted the base-meaning cell.
160,85,pa-tizeng,使之站立,pa- | tizeng- | 站,,Page-image verified while adding source-table base forms; OCR omitted the base-meaning cell.
161,85,pa-bangsis,使之散發香味,pa- | bangsis | 香味,,Page-image verified while adding source-table base forms; OCR omitted the base-meaning cell.
165,87,pi-id'id,去烤,pi- | id'id- | 烤,,Page-image verified while adding source-table base forms; OCR omitted the medial glottal mark.
187,91,sa-lungidac,最髒,sa- | lungidac | 髒兮兮,,Page-image verified while adding source-table base forms; removed a footnote marker from the root cell.
198,95,si-bakan,帶刀,si- | bakan | 刀,,Page-image verified; Vision OCR capitalized the prefix.
203,96,si-buut,有戴頭飾,si- | buut | 頭飾,,Page-image verified; Vision OCR read si- as S1-.
211,98,si-bili,懷孕,si- | bili | 肚子,,Page-image verified while adding source-table base forms; OCR omitted the root and base-meaning cells.
212,98,si-ciid,發嫩芽,si- | ciid | 枝,,Page-image verified while adding source-table base forms; OCR omitted the root and base-meaning cells.
213,98,si-cilal,出太陽,si- | cilal | 太陽,,Page-image verified while adding source-table base forms; OCR omitted the root and base-meaning cells.
214,98,si-dinget,流鼻涕,si- | dinget | 鼻涕,,Page-image verified while adding source-table base forms; OCR omitted the root cell.
215,98,si-heci,長果實,si- | heci | 果實,,Page-image verified while adding source-table base forms; OCR omitted the root cell.
216,98,si-lusa',流淚,si- | lusa' | 淚水、眼淚,,Page-image verified while adding source-table base forms; OCR omitted the root cell and final glottal mark.
220,98,si-tibeni,長痱子,si- | tibeni | 痱子,,Page-image verified; Vision OCR injected non-source prefix artifacts.
226,101,ta-sasa,向下（tayza i sasa的縮寫）,ta- | sasa | 下、底部,,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.
233,101,ta-umah,去田裡（tayza i umah的縮寫）,ta- | umah | 田,,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.
234,101,ta-cuwa,去哪裡？（tayza i cuwa的縮寫）,ta- | cuwa | 哪裡,,Page-image verified; Vision OCR missed the wrapped rightmost meaning cell.
239,105,hali-ama,愛爸爸,hali- | ama | 父親,,Page-image verified; Vision OCR split the row across adjacent cells.
242,105,hali-epah,愛喝酒,hali- | epah | 酒,,Page-image verified; Vision OCR misread the root cell.
243,105,hali-ina,愛媽媽,hali- | ina | 母親,,Page-image verified; Vision OCR omitted the row number.
244,105,hali-labang,好客,hali- | labang | 客人,,Page-image verified; Vision OCR omitted the row number.
247,105,hali-pahengad,很會欺騙,hali- | pahengad | 欺騙,,Page-image verified while adding source-table base forms; OCR inserted l in the root cell.
251,107,hina-baha,常咳嗽,hina- | baha | 咳嗽,,Page-image verified; Vision OCR split the row across adjacent cells.
254,107,hina-pacena',時常休息,hina- | pacena' | 歇一下、休息一下,,Page-image verified; Vision OCR split the row across adjacent cells.
256,107,hina-tayni,常來這裡,hina- | tayni | 來,,Page-image verified; Vision OCR split the row across adjacent cells.
261,108,kalapa-bekbek,講話很容易誇張、加油添醋,kala- | pa-bekbek | 形容在人後評論某人，大多是講壞話。,,Page-image verified; source prints the affixed form without a hyphen after kala.
266,109,tada-macebed,太密集,tada- | macebed | 指草生長得很密集或雜草叢生,,Page-image verified while adding source-table base forms; OCR omitted the base-meaning cell.
278,111,tunu-calay,很多網,tunu- | calay | 絲線（例如蜘蛛絲、電話線、網路線）,,Page-image verified while adding source-table base forms; OCR omitted the base-meaning cell.
282,124,'neng-a,坐下！,a- | 'neng | 坐,,Page-image verified while adding source-table base forms; OCR read the initial glottal mark and n as h.
