page_number_one_based,example_label_clean,variant_index,original_form_xml,sentence_id,reason
42,(26) a.,1,M-tgsa laqi ka Lowking.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026A_0079_01,preserve published id for a repeated source label
42,(26) b.,1,Emp-tgsa laqi ka Lowking.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E026B_0080_01,preserve published id for a repeated source label
95,(36) b.,1,Tama Lowking ka emp-txiluy nii.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E036B_P0095_01,newly recovered sentence must not reuse the published C03_E036B id
107,(39) a.,1,Asi biyaw maa-tama ka Lowking.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E039A_0199_01,preserve published id for a repeated source label
107,(39) b.,1,K-tama hari na.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E039B_0200_01,preserve published id for a repeated source label
109,(35) a.,1,K-lhkah hari ka hiyi =su.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E035A_0202_01,preserve published id for a repeated source label
109,(35) b.,1,S-k-lhkah =na o ini ekan n-hapuy.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E035B_0203_01,preserve published id for a repeated source label
116,(36) a.,1,Qtul ka qhuni brah biyi=su.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E036A_0204_01,preserve published id for a repeated source label
116,(36) b.,1,Q-qtul kana ka nii.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E036B,preserve the published id for the same source sentence
116,(37) a.,1,Ini =ku patas niya na.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E037A_0206_01,preserve published id for a repeated source label
116,(37) b.,1,N-naku ka p-patas nii.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E037B_0207_01,preserve published id for a repeated source label
117,(38) a.,1,Iyat hapuy idaw jiyax sayang.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038A_0208_01,preserve published id for a repeated source label
117,(38) b.,1,H-hapuy=niya ni h-hapuy=mu o ini pndka.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E038B_0209_01,preserve published id for a repeated source label
117,(39) a.,1,Jiyun musa matas ka kuciw nii.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E039A_0210_01,preserve published id for a repeated source label
117,(39) b.,1,Lala ka j-jiyun=na ka Kuciw nii.,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E039B_0211_01,preserve published id for a repeated source label
