story_number	source_ordinal	printed_label	stable_sentence_id	action	rationale
50	38	036	050S38	preserve_default_stable_id	The source repeats printed label 036; source order and the published stable ID establish sentence 38.
91	1	001	091S0	insert_missing_source_sentence	The public corpus omitted the first source sentence, so S0 adds it without renumbering published S1 through S28.
91	2	002	091S1	preserve_published_id	Public 091S1 corresponds to source sentence 002.
91	3	003	091S2	preserve_published_id	Public 091S2 corresponds to source sentence 003.
91	4	004	091S3	preserve_published_id	Public 091S3 corresponds to source sentence 004.
91	5	005	091S4	preserve_published_id	Public 091S4 corresponds to source sentence 005.
91	6	006	091S5	preserve_published_id	Public 091S5 corresponds to source sentence 006.
91	7	007	091S6	preserve_published_id	Public 091S6 corresponds to source sentence 007.
91	8	008	091S7	preserve_published_id	Public 091S7 corresponds to source sentence 008.
91	9	009	091S8	preserve_published_id	Public 091S8 corresponds to source sentence 009.
91	10	010	091S9	preserve_published_id	Public 091S9 corresponds to source sentence 010.
91	11	011	091S10	preserve_published_id	Public 091S10 corresponds to source sentence 011.
91	12	012	091S11	preserve_published_id	Public 091S11 corresponds to source sentence 012.
91	13	013	091S12	preserve_published_id	Public 091S12 corresponds to source sentence 013.
91	14	014	091S13	preserve_published_id	Public 091S13 corresponds to source sentence 014.
91	15	015	091S14	preserve_published_id	Public 091S14 corresponds to source sentence 015.
91	16	016	091S15	preserve_published_id	Public 091S15 corresponds to source sentence 016.
91	17	017	091S16	preserve_published_id	Public 091S16 corresponds to source sentence 017.
91	18	018	091S17	preserve_published_id	Public 091S17 corresponds to source sentence 018.
91	19	019	091S18	preserve_published_id	Public 091S18 corresponds to source sentence 019.
91	20	020	091S19	preserve_published_id	Public 091S19 corresponds to source sentence 020.
91	21	021	091S20	preserve_published_id	Public 091S20 corresponds to source sentence 021.
91	22	022	091S21	preserve_published_id	Public 091S21 corresponds to source sentence 022.
91	23	023	091S22	preserve_published_id	Public 091S22 corresponds to source sentence 023.
91	24	024	091S23	preserve_published_id	Public 091S23 corresponds to source sentence 024.
91	25	025	091S24	preserve_published_id	Public 091S24 corresponds to source sentence 025.
91	26	026	091S25	preserve_published_id	Public 091S25 corresponds to source sentence 026.
91	27	027	091S26	preserve_published_id	Public 091S26 corresponds to source sentence 027.
91	28	028	091S27	preserve_published_id	Public 091S27 corresponds to source sentence 028.
91	29	029	091S28	preserve_published_id	Public 091S28 corresponds to source sentence 029.
