language,ilrdf_headword,branch_sentence_id,sentence
Amis,O,Amis_96,O tatalaKalinko^ kako anocila^.
Amis,akong,Amis_384,I lotok ko akong no mako.
Amis,anini,Amis_429,Anini a pakaʼaraw kako to tadapising no miso.
Amis,anini,Amis_431,O malakampiwtaay ko fanaʼ no aniniay a wawawawa.
Amis,anocila,Amis_456,Toan kako anocila.
Amis,caayay,Amis_529,Komimit han no mako kira caayay pitengil a wawa.
Amis,dadaya,Amis_1244,O nidopohan niyam saka malipida tina dadaya.
Amis,demak,Amis_1329,Hakeno caay ka fanaʼ kako tonini a dmak.
Amis,demiʼ,Amis_1334,Misakalafiay ci ina i demiʼ.
Amis,fahekaʼ,Amis_1552,O macolalay ko nika ini no miso a fahekaʼ ko ʼalomanay.
Amis,fali,Amis_1593,O macowacoʼay no fali kira nanom.
Amis,foting,Amis_1847,Pakifakicien kira foting. 
Amis,kalacoyoh,Amis_2466,Kalacoyoh no wawa iso kiso!
Amis,kaolahan,Amis_2631,O lingko ko kaolahan no mako a losay.
Amis,kerid,Amis_2908,"Mayaw, kerid han to ko fa^lohay a kapot talapidangoyan."
Amis,kerit,Amis_2912,Kerit han nira wawa kira pawli.
Amis,kesem,Amis_2914,Kesem saan kako to sowal nira.
Amis,kesiʼ,Amis_2916,O kesiʼ to no niriyar ano honi.
Amis,kolong,Amis_3112,Ngernger han no kolong ko taloʼan a pakiskis.
Amis,macowat,Amis_3613,Macowat a talaTayliko ko tayal niyam.
Amis,malacoyoh,Amis_3882,Malacoyoh no wawa ita kita o malainaay no lomaʼ.
Amis,malacoyoh,Amis_3883,O niocoran no Kawas a malacoyoh ko ina ita.
Amis,matalaw,Amis_4583,Matalaw kako to ^epel.
Amis,micowacoʼay,Amis_4949,Cima ko micowacoʼay to nanom i tefon?
Amis,micowat,Amis_4950,Micowat nani niyaroʼ a talapala ko pipakoyasi no mako.
Amis,milaliw,Amis_5263,"Pacaʼefasen ko nanom i fanaw, ta milaliw ko tatiihay a nanom."
Amis,milisoʼ,Amis_5303,Tayni i lomaʼ ko siw-ni a milisoʼ i takowanan. 
Amis,ngihaʼ,Amis_6089,Tataʼang ko ngihaʼ no hanhan nira.
Amis,nitenglan,Amis_6301,"Doʼeng san kiso, awaawa ko nitenglan iso hani?"
Amis,pacoyohen,Amis_6495,Pacoyohen i nisangaʼan iso a sapikolisimas a kilang.
Amis,pakisakis,Amis_6657,Ngernger han no kolong ko taloʼan a pakisakis.
Amis,pasifanaʼ,Amis_7001,O sanay kako a pasifanaʼ i tisowanan.
Amis,patiyamay,Amis_7085,Miocor ci ina^ i takowanan a tala patiyamay a micakay to taw^iw.
Amis,pelaʼ,Amis_7176,Pelaʼ sato ko sinar a marohem.
Amis,riyar,Amis_7506,O tesiʼ to no riyar ano honi.
Amis,sacoyohen,Amis_7569,Sacoyohen ko wayway ita.
Amis,saemel,Amis_7577,Sasaemel saan ko romiad a nini.
Amis,sapaamid,Amis_7824,Masasipafeli kami to sapaamid.
Amis,tengil,Amis_8527,Tadatataʼang ko omiʼ no mama ato ina to wawa saka caay pitengil kira wawa.
Amis,ʼopic,Amis_8878,O ʼopic no ngalay kira masanekay.
Amis,ʼoʼol,Amis_8907,Tano ʼoʼol saan ko kakarayan to dafak. 
Atayal,Libuʼ,Atayal_66,kbalay cikay libuʼ ngtaʼ maʼ? aki sakuʼ qmayat cikay ngtaʼ.
Atayal,aras,Atayal_255,"mha ni musaʼ suʼ ngasal ni Agin ga, aras kiriʼ kinsugan nyaʼ ki."
Atayal,aras,Atayal_256,aras sapat qinsugan nhaʼ isuʼ. zngyay suʼ lki!
Atayal,atuʼ,Atayal_263,"atuʼ qasa ga, pin_yangan makuʼ."
Atayal,bahuq,Atayal_329,"aring sa galan myan inaʼ qu inaʼ Gwagiʼ qani lga, iniʼ bahuq ana cikuy. us! us! bha yasa qu inaʼ la! ana mahuq iniʼ nyaʼ baqi."
Atayal,bakit,Atayal_330,mpyakux qu bakit. wal mtukun tanux kwaraʼ qsyaʼ la .
Atayal,balay,Atayal_334,pzyux balay qhuniq nyaʼ te uru qasa.
Atayal,balay,Atayal_335,qthuy balay qu qparung qani wah! pinuyaʼ nqu Taliʼ gaw.
Atayal,balay,Atayal_345,"cyux ʼmukan na hlaqiy qu babaw rgyax, blaq balay ktan."
Atayal,bes,Atayal_452,qani qu bes mu.
Atayal,betunux,Atayal_460,nanu iyal kinbetunux qu tgliq qasa.
Atayal,betunux,Atayal_463,betunux balay qalang ta.
Atayal,bhlan,Atayal_487,minsʼulah musaʼ qmul pilaʼ na squliq i Piling ki Takun ma ru wal bhlan lma.
Atayal,bhray,Atayal_499,swaʼ iniʼ baqi ʼmtung qu bhray qani pi!
Atayal,bhray,Atayal_500,usaʼ maziy cikay qthuy na bhray pskut taʼ lwax na tatak ha!
