id	source_locator	pdf_page	printed_page	example_label	source_ref	included	language	original	gloss	translation	translation_alt	translation_alt_in_xml	grammaticality	notes
excluded_001	PDF p. 74; printed p. 69; example (1)	74	69	1	Keenan 1985:164	no	Hindi	Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.	COREL man GEN dog sick is that man DO I ERG saw	I saw the man whose dog is sick.	Which man's dog is sick, that man I saw.	n/a	grammatical	Excluded from XML because it is a Hindi comparison example, not Seediq target data.
tsukida2014_seediq_S001	PDF p. 74; printed p. 69; example (2)	74	69	2	article example	yes	Seediq	Malu ka hiyi=su?	AV.good NOM body=2SG.GEN	Is your body well? How are you?		n/a	grammatical	First-page visual check confirms the form, gloss, and translation.
tsukida2014_seediq_S002	PDF p. 75; printed p. 70; example (3)	75	70	3	article example	yes	Seediq	deha huliŋ kumu gaga	two dog Kumu DIST	Those two dogs of Kumu's		n/a	grammatical	Gloss line aligns with source words.
tsukida2014_seediq_S003	PDF p. 75; printed p. 70; example (4)	75	70	4	article example	yes	Seediq	Saman 'u, mawsa=nami Tehaypaq da.	tomorrow PTC AV.FUT.go=1PLEX.NOM Taipei NS	As for tomorrow, we will go to Taipei.		n/a	grammatical	Source uses PTC in the gloss for 'u.
tsukida2014_seediq_S004	PDF p. 75; printed p. 70; example (5)	75	70	5	article example	yes	Seediq	Sapah=na 'u, hebaraw ka patas=na.	house=3SG.GEN PRT AV.many NOM book=3SG.GEN	As for his house, there are many books.		n/a	grammatical	Source uses PRT in the gloss for 'u.
tsukida2014_seediq_S005	PDF p. 75; printed p. 70; example (6)	75	70	6	article example	yes	Seediq	Laqi gaga 'u, malu (ka hiya).	child DIST PTC AV.good NOM 3SG	As for that child, s/he is good.		n/a	grammatical	The optional constituent is expanded into two reviewed sentence variants with aligned W/M tiers under POL-026.
tsukida2014_seediq_S006	PDF p. 75; printed p. 70; example (7)	75	70	7	article example	yes	Seediq	Kumu 'u, b-en-arig=na laqi=na ka patas niyi.	Kumu PRT CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX	As for Kumu, she bought this book for her child.		n/a	grammatical	Source example later repeats this as (28a); that duplicate row is excluded.
tsukida2014_seediq_S007	PDF p. 75; printed p. 70; example (8)	75	70	8	article example	yes	Seediq	Deha laqi niyi 'u, tege'ima ka sewayi=su?	two child PRX PRT which NOM younger.sibling=2SG.GEN	As for these two children, which is your younger sibling?		n/a	grammatical	Question mark preserved at S-level and stripped from W-level tokenization.
tsukida2014_seediq_S008	PDF p. 76; printed p. 71; example (9)	76	71	9	article example	yes	Seediq	Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika (ka lupuŋ gaga).	DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America NOM guest DIST	The guest to whom that Yudaw is talking over there is from America.		n/a	grammatical	The optional constituent is expanded into two reviewed sentence variants with aligned W/M tiers under POL-026.
excluded_002	PDF pp. 76-77; printed pp. 71-72; example (10)	76-77	71-72	10	Keenan 1985:164	no	Hindi	Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.	COREL man GEN dog sick is that man DO I RF saw	I saw the man whose dog is sick.	Which man's dog is sick, that man I saw.	n/a	grammatical	Excluded from XML because it repeats the Hindi comparison example, not Seediq target data.
excluded_003a	PDF p. 77; printed p. 72; example (11a)	77	72	11a	Andrews 2007:216, quoted from Hale 1976	no	Warlpiri	Ngatjulu-rlu kapi-rna wawirri purra-mi kutja-npa parntu-rnu nyuntulu-rlu].	1-erg FUT-1sg kangaroo cook-nonpast rel-2sg spear-past you-erg	I will cook the kangaroo that you speared.		n/a	grammatical	Excluded as Warlpiri comparison data. The source-visible unmatched closing bracket is preserved exactly; the translation is shared by examples 11a and 11b.
excluded_003b	PDF p. 77; printed p. 72; example (11b)	77	72	11b	Andrews 2007:216, quoted from Hale 1976	no	Warlpiri	[Nyuntulu-rlu kutja-npa wawirri pantu-rnu] ngatjulu-rlu kapi-rna purra-mi.	you-erg rel-2sg kangaroo spear-past I-erg FUT-1sg cook-nonpast	I will cook the kangaroo that you speared.		n/a	grammatical	Excluded as Warlpiri comparison data. The bracketed left-side clause and source spelling pantu-rnu are preserved; the translation is shared by examples 11a and 11b.
excluded_004	PDF p. 77; printed p. 72; example (12)	77	72	12	Austin 1981:210	no	Diyari	ŋan̪i wil̪a-ni yat̪a-l̪a ŋana-yi/ yinda-ṇan̪i.	1sg woman-LOC speak-FUT AUX-PRES cry-RELds	I'll talk to the woman who is crying.		n/a	grammatical	Excluded from XML because it is a Diyari comparison example, not Seediq target data.
tsukida2014_seediq_S009	PDF p. 78; printed p. 73; example (13)	78	73	13	article example	yes	Seediq	Ga r-em-eŋaw lupuŋ ka yudaw ga 'u, pena'ah 'Amirika.	DIST.PRG AV-talk guest NOM Yudaw DIST PTC from America	Yudaw who is speaking to a/the guest is from America.	* The guest to whom Yudaw is talking to, he is from America.	no	grammatical	The starred English line marks an impossible interpretation, not an ungrammatical Seediq form. It remains in source evidence but is omitted from XML per reviewer decision.
tsukida2014_seediq_S010	PDF p. 78; printed p. 73; example (14a)	78	73	14a	article example	no	Seediq	*Sepeg-un rubiq ka patas 'u, m-en-egay (patas) ka tama=na.	read-GV1 Rubiq NOM book PTC AV-PRF-give book NOM father=3SG.GEN			n/a	ungrammatical	Excluded under the FormosanBank source-initial-asterisk rule; the leading star and optionality parentheses are preserved in reviewed evidence.
tsukida2014_seediq_S011	PDF p. 78; printed p. 73; example (14b)	78	73	14b	article example	yes	Seediq	Sepeg-un rubiq ka patas 'u, b-en-egay tama=na.	read-GV1 Rubiq NOM book PTC CV.PRF-give father=3SG.GEN	Her father gave (her) this book which Rubiq will read.		n/a	grammatical	Translation appears under subexample b in the source.
tsukida2014_seediq_S012	PDF p. 79; printed p. 74; example (15a)	79	74	15a	article example	no	Seediq	*Ga reŋag-an yudaw ga ka lupuŋ 'u, b-en-iq-an=na patas ka rubiq.	DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC PRF-give-GV=3SG.GEN book NOM Rubiq			n/a	ungrammatical	Excluded under the FormosanBank source-initial-asterisk rule; the leading star is preserved in reviewed evidence and the source supplies no separate translation.
tsukida2014_seediq_S013	PDF p. 79; printed p. 74; example (15b)	79	74	15b	article example	yes	Seediq	Ga reŋag-an yudaw ga ka lupuŋ 'u, m-en-egay patas rebiq-an.	DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC AV-PRF-give book Rubiq-OBL	The guest to whom Yudaw is talking to will give a/the book to Rubiq.		n/a	grammatical	Source translation retained.
tsukida2014_seediq_S014	PDF p. 79; printed p. 74; example (16a)	79	74	16a	article example	no	Seediq	*Saw 'adi mpeke-geruŋ ka peratu 'u, m-barig=ku.	like NEG AV.FUT-break NOM plate PTC AV.FUT-buy=1SG.NOM			n/a	ungrammatical	Excluded under the FormosanBank source-initial-asterisk rule; the leading star is preserved in reviewed evidence and the source supplies no separate translation.
