record_id	section	section_title	part	label	printed_page_start	printed_page_end	pdf_object_page_start	pdf_object_page_end	has_translation	form_chars	standard_chars	translation_chars	notes	translation	form	standard
section_01_title	1	The Prayer of Our Lord Jesus Christ	section_title	title	1	1	33	33	True	50	48	36	Printed Favorlang section heading aligned to Campbell's English heading	The Prayer of Our Lord Jesus Christ.	Ai-ach'o ma-acháchimit ja Torro ta Jesus Christus.	Aiach'o maacháchimit ja Torro ta Jesus Christus.
section_01_lords_prayer	1	The Prayer of Our Lord Jesus Christ	primary_section		1	1	33	33	True	417	407	374	Printed primary section joined across page boundaries	Our Father which art in Heaven, let Thy Name be praised. Let Thy dominion come. Let Thy will be done, as in Heaven, so also upon earth. Give us this day sufficient bread. And forgive us our trespasses, as we also forgive them that do us evil. Let us not be tempted, and deliver us from evil. For Thine is the dominion, and the power, and the praise, for ever and ever, Amen.	Namoa tamau tamasea paḡa de boesum, ipá-dassa joa naan. Ipáṣaija joa chachimit o ai. Ipá-i-jorr'o oa airab maibas de boesum, masini de ta channumma. Epé-e namono piadai torro uppo ma-atsikap. Ṣo-o abó-e namo tataap o kakossi namoa, maibas channumma namo mabo tamasea parapies i namo. Hai pásabas i namo, ṣo-o barras'i namo innai rapies ai. Inau joa micho chachimit o ai, ṣo-o barr'o ai, ṣo-o adas ai, taulaulan, Amen.	Namoa tamau tamasea paḡa de boesum, ipádassa joa naan. Ipáṣaija joa chachimit o ai. Ipáijorr'o oa airab maibas de boesum, masini de ta channumma. Epée namono piadai torro uppo maatsikap. Ṣoo abóe namo tataap o kakossi namoa, maibas channumma namo mabo tamasea parapies i namo. Hai pásabas i namo, ṣoo barras'i namo innai rapies ai. Inau joa micho chachimit o ai, ṣoo barr'o ai, ṣoo adas ai, taulaulan, Amen.
section_02_title	2	The Christian Belief	section_title	title	2	2	34	34	True	17	17	21	Printed Favorlang section heading aligned to Campbell's English heading	The Christian Belief.	Autat o Christan.	Autat o Christan.
section_02_christian_belief	2	The Christian Belief	primary_section		2	3	34	35	True	931	915	857	Printed primary section joined across page boundaries	I believe in God the Father, the Almighty Creator of Heaven and earth: and in Jesus Christ, His only begotten Son, our Lord, who was conceived by the pure breath of God, the Holy Ghost, born of the betrothed virgin Mary, who suffered under the judge Pontius Pilate, was nailed to the cross, who died, was buried, and descended into the pool of fire, that is Hell; the third day He arose from the dead; ascended to Heaven, and sitteth on the right hand of His Father, the Almighty; from whence He shall return to judge the quick and the dead. I believe in the pure breath of God, the Holy Ghost; I believe in' a communion of a pure or holy Christian people, that has been of times of old, is now, and always shall remain; in the communion that is, the communion of Saints; the forgiveness of sins the resurrection of the flesh; and in life everlasting. Amen.	Ka na-a poetautaṭ inni Deos o Tamau, Airien o boesum, a ta kamabarr'ija tapos o ai; Ṣo-o inni ta Jesus Christus choa sjiem nattaṣar o binodda ma-acháchimit ja torro, tamasea karinab innaide Auchar o Deos o ma-áchimit, ta Spirito Santo, kabinodd'o patómammali ta Maria. Minachoté o ai de rapo ma-achachált ta Pontius Pilatus, tsiniltillan i ṣaṣakimotto, minachá, chinap o ta, ṣinoss'i chauch o chau, michoṣar a pattite, gehenna. Ka natorroa da zijsja minaṣéas a macha. Tsinnummaḡach i boesum, airoossen i kallamas o choa Tamau kamabarr'ija tapos o ai; Innaide icho ṣaṣai pacheoach, alla mierien o chachalt o cho morich-a ṣo-o macháda ai. Kana-a poetautat inni ta Auchar o Deos o ma-áchimit, ta Spirito Santo. Na-a pittau o aiḡarrórro-no cho Christan o ma-achimit, o ai pinaga ani-aicho, paga pia ṣo-o kapapoetautachṣar. Rorróno-ad'o chono ma-achimit ai. Ábono tataap o kakossi ai. Aṣéas o bo'ai. Ṣo-o morícho o ma-áchonṣar ai. Amen.	Ka naa poetautaṭ inni Deos o Tamau, Airien o boesum, a ta kamabarr'ija tapos o ai; Ṣoo inni ta Jesus Christus choa sjiem nattaṣar o binodda maacháchimit ja torro, tamasea karinab innaide Auchar o Deos o maáchimit, ta Spirito Santo, kabinodd'o patómammali ta Maria. Minachoté o ai de rapo maachachált ta Pontius Pilatus, tsiniltillan i ṣaṣakimotto, minachá, chinap o ta, ṣinoss'i chauch o chau, michoṣar a pattite, gehenna. Ka natorroa da zijsja minaṣéas a macha. Tsinnummaḡach i boesum, airoossen i kallamas o choa Tamau kamabarr'ija tapos o ai; Innaide icho ṣaṣai pacheoach, alla mierien o chachalt o cho moricha ṣoo macháda ai. Ka naa poetautat inni ta Auchar o Deos o maáchimit, ta Spirito Santo. Naa pittau o aiḡarrórrono cho Christan o maachimit, o ai pinaga aniaicho, paga pia ṣoo kapapoetautachṣar. Rorróno ad'o chono maachimit ai. Ábono tataap o kakossi ai. Aṣéas o bo'ai. Ṣoo morícho o maáchonṣar ai. Amen.
section_03_title	3	The Ten Commandments of the Lord	section_title	title	3	3	35	35	True	30	30	33	Printed Favorlang section heading aligned to Campbell's English heading	The Ten Commandments of the Lord.	Tschiet o Áttillono ta Jehova.	Tschiet o Áttillono ta Jehova.
section_03_preamble	3	The Ten Commandments of the Lord	section_preamble	preamble	3	3	35	35	True	128	125	115	Introductory text before the numbered items	God spake all these words: I am the Lord Thy God, who hast led thee out of the land of Egypt, the house of bondage.	Ta Deos ma-chó tapos o atite o miniṣar: Ka-ina paga ta Jehova oa Deosoë, tamasea piná-i-jor ijo innai ta Egipten, don o aran ai.	Ta Deos machó tapos o atite o miniṣar: Ka ina paga ta Jehova oa Deosoë, tamasea pináijor ijo innai ta Egipten, don o aran ai.
section_03_item_01	3	The Ten Commandments of the Lord	numbered_item	item_01	3	3	35	35	True	61	59	40	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt have no other Gods before me.	Alii papaga ijonoë' Deos a; roman katinnaam o na-amorra-dech.	Alii papaga ijonoë' Deos a; roman katinnaam o naamorradech.
section_03_item_02	3	The Ten Commandments of the Lord	numbered_item	item_02	3	4	35	36	True	572	566	475	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt not make unto thee any graven image, or any likeness, of anything above in Heaven, of anything here below on earth; or of anything in the waters under the earth; thou shalt not bow down thyself to them, and thou shalt not serve them; for I the Lord thy God am a jealous God, visiting the iniquity of the fathers upon the children, unto the third and fourth generation of them that hate me; and showing mercy to many thousands that love me and keep my commandments.	Alii mamerien ijonoë a oa boa o isas a ḡinaat ja charri o tatschier; pagaga chaddai innai charri o ai lallum boesum de babó: pagaga chaddai innai charri o ai babó ta de rapó: pagaga chaddai innai charri o ai lallum to de rapó ta: alli papadachum ijonoë katinnaam o decho, ṣo-o alli allecho aran o decho, inau ka-ina ta Jehova oa Deosoë, Deos maddobor a tsjes, tamasea ṣummad'o arapies o tamauno inni sisjiem pana natorroa, ṣo-o kanaspat a tupponodon, tamasea masásso ina; ṣo-o kamabo ina o mapan manna-achpil a tschiet eis, tamasea maukat o ina, ṣo-o ummior o na-a atillo.	Alii mamerien ijonoë a oa boa o isas a ḡinaat ja charri o tatschier; pagaga chaddai innai charri o ai lallum boesum de babó: pagaga chaddai innai charri o ai babó ta de rapó: pagaga chaddai innai charri o ai lallum to de rapó ta: alli papadachum ijonoë katinnaam o decho, ṣoo alli allecho aran o decho, inau ka ina ta Jehova oa Deosoë, Deos maddobor a tsjes, tamasea ṣummad'o arapies o tamauno inni sisjiem pana natorroa, ṣoo kanaspat a tupponodon, tamasea masásso ina; ṣoo kamabo ina o mapan mannaachpil a tschiet eis, tamasea maukat o ina, ṣoo ummior o naa atillo.
section_03_item_03	3	The Ten Commandments of the Lord	numbered_item	item_03	4	4	36	36	True	117	116	137	Printed numbered item aligned to the corresponding English item; boundary number omitted	Thou shalt not idly pronounce or use the name of the Lord thy God, for the Lord will not hold him guiltless that taketh His name in vain.	Alli mamarach o baak o naan o Jehova oa Deos-ech, inau ta Jehova alli mamabono chono ai, kamarach o baak o choa naan.	Alli mamarach o baak o naan o Jehova oa Deosech, inau ta Jehova alli mamabono chono ai, kamarach o baak o choa naan.
section_03_item_04	3	The Ten Commandments of the Lord	numbered_item	item_04	4	4	36	36	True	592	585	576	Printed numbered item aligned to the corresponding English item; boundary number omitted	Remember the Sabbath day, to keep it pure or holy. Six days shalt thou labour and finish all thy work; but the seventh day is the Sabbath, that is, the resting time of the Lord thy God; on that day thou shalt not do any work, neither thyself nor thy son, nor thy daughter, nor thy man-servant, nor thy maid-servant, nor thy ox, nor thy stranger that dwelleth in thy land; for in six days the Lord finished creating Heaven and earth, the sea, and all that therein is, and He rested the seventh day, therefore the Lord commands to celebrate the Sabbath day, and to keep it holy.	Tuppána o zijsj'o Sabbath-ai, all'ijo pachímit o aicho. Nataap a rummies tatummaap ijonoë, ṣo-o a-ummoob o tapos oa tataap; ṣo-o naitoa zijsja paga Sabbath, michoṣar a pattite, aissassen o Jehova oa Deos-ech: paga tatummaap ijo de ailo charri o ai, pa ijo, pa oa sjiem badda, pa oa sjiem mammali, pa oa aran o badda, ja mammali pa oa loan o tummaap, pa oa azjiesech de oa ta; inau lallum nataap a zijsja ta Jehova inummoob o boesum, o ta, a abás, ṣo-o tapos o ai de lallum ailoe, ṣo-o kanaitoa zijsja pissassen icho, inau decho ta Jehova pinárab o zijsj'o Sabbath ai, ṣo-o pinachímit o micho.	Tuppána o zijsj'o Sabbath ai, all'ijo pachímit o aicho. Nataap a rummies tatummaap ijonoë, ṣoo aummoob o tapos oa tataap; ṣoo naitoa zijsja paga Sabbath, michoṣar a pattite, aissassen o Jehova oa Deosech: paga tatummaap ijo de ailo charri o ai, pa ijo, pa oa sjiem badda, pa oa sjiem mammali, pa oa aran o badda, ja mammali pa oa loan o tummaap, pa oa azjiesech de oa ta; inau lallum nataap a zijsja ta Jehova inummoob o boesum, o ta, a abás, ṣoo tapos o ai de lallum ailoe, ṣoo kanaitoa zijsja pissassen icho, inau decho ta Jehova pinárab o zijsj'o Sabbath ai, ṣoo pinachímit o micho.
