table_id,page_number_one_based,printed_page_number,chapter_number,section_number,table_title,row_label,column_label,truku_form_raw,truku_form_clean,chinese_meaning_raw,chinese_meaning_clean,morphology_label,word_class_change,cell_raw,cell_clean,parse_confidence,xml_eligible_candidate,notes
p0018_t01,18,,,,,1,;太魯閣族名;;;漢名;;;職業;;;年齡;;;性別;;;部落;,Nobucyang,Nobucyang,許勝賀,許勝賀,,,Nobucyang | 許勝賀 | 吊卡車司機 | 59 | 男 | 銅門,Nobucyang | 許勝賀 | 吊卡車司機 | 59 | 男 | 銅門,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0018_t01,18,,,,,2,;太魯閣族名;;;漢名;;;職業;;;年齡;;;性別;;;部落;,Silung,Silung,許珍碧,許珍碧,,,Silung | 許珍碧 | 退休國小老師 | 61 | 女 | 銅門,Silung | 許珍碧 | 退休國小老師 | 61 | 女 | 銅門,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0018_t01,18,,,,,3,;太魯閣族名;;;漢名;;;職業;;;年齡;;;性別;;;部落;,Tusi Yudaw,Tusi Yudaw,李季生,李季生,,,Tusi Yudaw | 李季生 | 長老教會牧師 | 57 | 男 | 崇德,Tusi Yudaw | 李季生 | 長老教會牧師 | 57 | 男 | 崇德,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,1,;;雙唇;舌尖;硬顎;舌根;小舌;喉,p,p,塞音,塞音,,,塞音 | 清 | p | t | k | q,塞音 | 清 | p | t | k | q,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,2,;;雙唇;舌尖;硬顎;舌根;小舌;喉,b,b,濁,濁,,,濁 | b | d | g,濁 | b | d | g,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,3,;;雙唇;舌尖;硬顎;舌根;小舌;喉,s,s,擦音,擦音,,,擦音 | 清 | s | x | (h),擦音 | 清 | s | x | (h),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,4,;;雙唇;舌尖;硬顎;舌根;小舌;喉,ts(c),ts(c),塞擦音,塞擦音,,,塞擦音 | 清 | ts(c),塞擦音 | 清 | ts(c),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,5,;;雙唇;舌尖;硬顎;舌根;小舌;喉,(j),(j),濁,濁,,,濁 | (j),濁 | (j),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,6,;;雙唇;舌尖;硬顎;舌根;小舌;喉,m,m,鼻音,鼻音,,,鼻音 | 濁 | m | n | (ng),鼻音 | 濁 | m | n | (ng),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,7,;;雙唇;舌尖;硬顎;舌根;小舌;喉,l,l,邊音,邊音,,,邊音 | 濁 | l,邊音 | 濁 | l,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,8,;;雙唇;舌尖;硬顎;舌根;小舌;喉,(r),(r),閃音,閃音,,,閃音 | 濁 | (r),閃音 | 濁 | (r),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t01,23,,,,,9,;;雙唇;舌尖;硬顎;舌根;小舌;喉,w,w,滑音,滑音,,,滑音 | 濁 | w | j(y),滑音 | 濁 | w | j(y),medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,1,發音部位和方法;書寫文字;國際音標;語詞;中文,p,p,雙唇塞音(清),雙唇塞音(清),,,雙唇塞音(清) | p | p | paru | 大的,雙唇塞音(清) | p | p | paru | 大的,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,2,發音部位和方法;書寫文字;國際音標;語詞;中文,b,b,雙唇塞音(濁),雙唇塞音(濁),,,雙唇塞音(濁) | b | b | babuy | 豬,雙唇塞音(濁) | b | b | babuy | 豬,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,3,發音部位和方法;書寫文字;國際音標;語詞;中文,t,t,舌尖塞音(清),舌尖塞音(清),,,舌尖塞音(清) | t | t | tama | 爸爸,舌尖塞音(清) | t | t | tama | 爸爸,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,4,發音部位和方法;書寫文字;國際音標;語詞;中文,d,d,舌尖塞音(濁),舌尖塞音(濁),,,舌尖塞音(濁) | d | d | dhug | 到達,舌尖塞音(濁) | d | d | dhug | 到達,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,5,發音部位和方法;書寫文字;國際音標;語詞;中文,k,k,舌根塞音(清),舌根塞音(清),,,舌根塞音(清) | k | k | kacing | 牛,舌根塞音(清) | k | k | kacing | 牛,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,6,發音部位和方法;書寫文字;國際音標;語詞;中文,g,g,舌根塞音(濁),舌根塞音(濁),,,舌根塞音(濁) | g | g | gupun | 牙齒,舌根塞音(濁) | g | g | gupun | 牙齒,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,7,發音部位和方法;書寫文字;國際音標;語詞;中文,q,q,小舌塞音(清),小舌塞音(清),,,小舌塞音(清) | q | q | quyu | 蛇,小舌塞音(清) | q | q | quyu | 蛇,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,8,發音部位和方法;書寫文字;國際音標;語詞;中文,c,c,舌尖塞擦音(清),舌尖塞擦音(清),,,舌尖塞擦音(清) | c | ts | cimu | 鹽巴,舌尖塞擦音(清) | c | ts | cimu | 鹽巴,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,9,發音部位和方法;書寫文字;國際音標;語詞;中文,j,j,舌尖塞擦音(濁),舌尖塞擦音(濁),,,舌尖塞擦音(濁) | j |  | jiyan | 白天,舌尖塞擦音(濁) | j |  | jiyan | 白天,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,10,發音部位和方法;書寫文字;國際音標;語詞;中文,s,s,舌尖擦音(清),舌尖擦音(清),,,舌尖擦音(清) | s | s | sinaw | 酒,舌尖擦音(清) | s | s | sinaw | 酒,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,11,發音部位和方法;書寫文字;國際音標;語詞;中文,x,x,舌根擦音(清),舌根擦音(清),,,舌根擦音(清) | x | x | xiluy | 鐵,舌根擦音(清) | x | x | xiluy | 鐵,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,12,發音部位和方法;書寫文字;國際音標;語詞;中文,h,h,咽擦音(清),咽擦音(清),,,咽擦音(清) | h |  | harug | 松樹,咽擦音(清) | h |  | harug | 松樹,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,13,發音部位和方法;書寫文字;國際音標;語詞;中文,m,m,雙唇鼻音,雙唇鼻音,,,雙唇鼻音 | m | m | malu | 好的,雙唇鼻音 | m | m | malu | 好的,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,14,發音部位和方法;書寫文字;國際音標;語詞;中文,n,n,舌尖鼻音,舌尖鼻音,,,舌尖鼻音 | n | n | narat | 右邊,舌尖鼻音 | n | n | narat | 右邊,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,15,發音部位和方法;書寫文字;國際音標;語詞;中文,ng,ng,舌根鼻音,舌根鼻音,,,舌根鼻音 | ng |  | ngalaw | 香菇,舌根鼻音 | ng |  | ngalaw | 香菇,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
p0023_t02,23,,,,,16,發音部位和方法;書寫文字;國際音標;語詞;中文,r,r,舌尖閃音,舌尖閃音,,,舌尖閃音 | r |  | rapit | 飛鼠,舌尖閃音 | r |  | rapit | 飛鼠,medium,false,Extracted as sidecar table data; table rows are not emitted to Final_XML by default.
