example_record_id,sentence_id,page_number_one_based,example_label_clean,form_token_count,gloss_token_count,word_count_emitted,morpheme_count_emitted,alignment_status,reason,form_tokens,gloss_tokens,notes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0001,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E001A,26,(1) a.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-imah sinaw ka tama,AF-喝 酒 主格 爸爸,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0002,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E001B,26,(1) b.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-kan idaw ka yaku,AF-吃 飯 主格 我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0003,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E001C,26,(1) c.,3,3,3,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-euyas ka laqi,AF-歌 主格 小孩,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0004,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E002A,26,(2) a.,5,5,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Mah-un tama ka sinaw nii,喝-PF 爸爸 主格 酒 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0005,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E002B,26,(2) b.,5,5,5,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,N-mah-an tama ka sinaw nii,n-喝-LF 爸爸 主格 酒 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0006,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E002C,26,(2) c.,5,5,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,S-qarit lblak ka qarit nii,IF-剪刀 紙 主格 剪刀 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0007,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E003A,26,(3) a.,3,3,3,3,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Truku ka yaku,太魯閣族 主格 我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0008,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E003B,26,(3) b.,4,3,4,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Dumung ka sapah =mu,地名 主格 家-我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0009,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E004A,27,(4) a.,3,2,3,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-kan =ku n-hapuy,AF-吃-我 n-煮,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0010,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E004B,27,(4) b.,4,4,4,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-kan n-hapuy ka yaku,AF-吃 n-煮 主格 我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0011,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E005A,27,(5) a.,4,3,4,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ngahan =mu o Lowking,名字-我 主題 Lowking,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0012,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E005B,27,(5) b.,4,3,4,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Lowking ka ngahan =mu,Lowking 主格 名字-我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0016,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E007A,29,(7) a.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,N-naku ka patas nii,屬-我 主格 書 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0018,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E007C,29,(7) c.,4,3,4,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Patas =mu ka nii,書-我 主格 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0019,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E007D,29,(7) d.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,N-nima ka patas nii,屬-誰 主格 書 這,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0020,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E007D2,29,(7) d..2,1,0,1,2,words_only,no_source_gloss_line,N-naku,,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0021,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E008A,29,(8) a.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-sipaq knan ka Lowking,AF-打 我 主格 人名,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0022,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E008B,29,(8) b.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-gay =ku pila sunan,AF-給-我 錢 你,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0023,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E008C,29,(8) c.,4,3,4,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Ini =nami skuxul hyaan,不-我們 喜歡 他,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0024,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E009A,30,(9) a.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-gay =ku patas sunan,AF-給-我 書 你,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0028,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E009E,30,(9) e.,3,3,3,4,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,M-taqi ka hiya,AF-睡覺 主格 他,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0030,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E009G,30,(9) g.,4,3,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Mah-un =na ka qsiya,喝-PF-他 主格 水,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0031,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E010A,31,(10) a.,5,4,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Psru-un =mu ka laqi gaga,打-PF-我 主格 小孩 那個,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0032,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E010B,31,(10) b.,6,5,6,7,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Qta-an =su ka wiwi nii hug,看-LF-你 主格 小蟲 這 嗎,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0034,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E010D,31,(10) d.,5,4,5,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Paru bi ka sapah =mu,大 很 主格 家裡-我,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0035,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E010E,31,(10) e.,5,4,5,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Seejiq bi ka kuyuh =su,漂亮的 很 主格 女人-你,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0036,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011A,32,(11) a.,5,5,5,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Malu bi tunux ka isu,很好 很 頭腦 主格 你,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0037,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011B,32,(11) b.,5,5,5,6,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,Aji n-hiya ka babuy gaga,不 屬-他 主格 豬 那,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0041,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011F,32,(11) f.,4,4,4,5,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,N-nima ka patas gaga,屬-誰 主格 書 那,
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0042,HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011G,32,(11) g.,7,7,7,9,morpheme_aligned,form_morpheme_count_matches_source_gloss_morpheme_count,G-m-ealu balay lqi-an niya ka Lowking nii,愛<AF> 非常 小孩-受格 他的 主格 人名 這,infix_reanalysis G-m-ealu -> G-ealu+-m-
