"pdf_page","printed_page","source_locator","block_type","content_summary","exclusion_reason","review_note"
"1","116","p116 heading and running title","article metadata","I 開基之歌; (1) 原文; running title and author surname","Bibliographic and structural metadata, not a target-language sentence","Visually reviewed"
"2","117","p117 lower block","philological notes","Section I (2) 試註 notes 1-15","Japanese scholarly notes, not target-language sentence rows","Visually reviewed; evidence used to resolve line-wraps"
"3","118","p118 upper block","philological notes","Section I 試註 notes 16-21","Japanese scholarly notes, not target-language sentence rows","Visually reviewed; evidence used to resolve readings"
"3","118","p118 lower block","free summary","Section I (3) 大意","Japanese poetic summary, not an aligned source translation row","Visually reviewed"
"4","119","p119 heading","article metadata","II 大水氾濫之歌; (1) 原文","Structural metadata, not a target-language sentence","Visually reviewed"
"5","120","p120 lower block","philological notes","Section II (2) 試註 notes begin","Japanese scholarly notes, not target-language sentence rows","Visually reviewed"
"6","121","p121 full page","philological notes","Section II 試註 continuation through note 41","Japanese scholarly notes, not target-language sentence rows","Visually reviewed; evidence used to resolve readings"
"7","122","p122 full page","free summary","Section II (3) 大意","Japanese poetic summary, not aligned source translation rows","Visually reviewed"
"8","123","p123 heading","article metadata","III 氾濫後人民分居之歌; (1) 原文","Structural metadata, not a target-language sentence","Visually reviewed"
"9","124","p124 lower block","philological notes","Section III (2) 試註 notes begin","Japanese scholarly notes, not target-language sentence rows","Visually reviewed; evidence used to resolve readings"
"10","125","p125 upper block","philological notes","Section III 試註 continuation through note 24","Japanese scholarly notes, not target-language sentence rows","Visually reviewed; evidence used to resolve readings"
"10","125","p125 lower block","free summary","Section III (3) 大意 begins","Japanese poetic summary, not aligned source translation rows","Visually reviewed"
"11","126","p126 full page","free summary","Section III 大意 conclusion","Japanese poetic summary, not aligned source translation rows","Visually reviewed"
"12","unnumbered","colophon","publication metadata","Editors, publisher, printer, dates, price","Publication metadata, not target-language content","Visually reviewed"
"13","unnumbered","English contents page","publication metadata","English title, volume, issue, date, contents, author B. Sato","Publication metadata, not target-language content","Visually reviewed; used for title, author, language identity, and date"
"14","unnumbered","Japanese cover and contents","publication metadata","Cover, issue date, Japanese contents, 大社庄の蕃歌, 佐藤文一","Publication metadata, not target-language content","Visually reviewed; used to expand author name"
