example_record_id,page,pattern_guess,disposition,original_translation,proposed_primary_TRANSL,proposed_alt_TRANSL_ver_alt,truku_form
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0029,30,alt_translation,split_two_TRANSL_primary_plus_ver_alt,他要喝水。(=水要被他喝),他要喝水。,水要被他喝,Mah-un =na ka qsiya.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0030,31,alt_translation,split_two_TRANSL_primary_plus_ver_alt,我要打那個小孩。(那個小孩要被我打),我要打那個小孩。,那個小孩要被我打,Psru-un =mu ka laqi gaga.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0032,31,alt_translation,split_two_TRANSL_primary_plus_ver_alt,他要喝水。(=水要被他喝),他要喝水。,水要被他喝,Mah-un =na ka qsiya.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0035,32,alt_translation,split_two_TRANSL_primary_plus_ver_alt,你的頭腦很好。(你很聰明),你的頭腦很好。,你很聰明,Malu bi tunux ka isu.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0059,35,alt_translation,split_two_TRANSL_primary_plus_ver_alt,我起床了(我醒了)。,我起床了。,我醒了,M-tutuy =ku da.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0060,36,alt_translation,split_two_TRANSL_primary_plus_ver_alt,爸爸叫我起床(爸爸叫醒我)。,爸爸叫我起床。,爸爸叫醒我,T-m-utuy knan ka tama.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0063,37,alt_translation,split_two_TRANSL_primary_plus_ver_alt,這棉被要被我帶走 = (我要帶走的是這件棉被)。,這棉被要被我帶走 。,我要帶走的是這件棉被,Ds-un =mu ka qabang nii.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0064,37,alt_translation,split_two_TRANSL_primary_plus_ver_alt,這個木頭要被我砍 = (我要砍的是這個木頭)。,這個木頭要被我砍 。,我要砍的是這個木頭,Ttak-un =mu ka qhuni nii.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0065,37,alt_translation,split_two_TRANSL_primary_plus_ver_alt,他要給小孩錢 = (他要把錢給的是小孩)。,他要給小孩錢 。,他要把錢給的是小孩,Biq-un =na pila ka laqi.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0069,38,explanatory_note,do_nothing,作業 (要寫的東西),,,ptas-un
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0083,41,alt_translation,split_two_TRANSL_primary_plus_ver_alt,這是我們的廚房(煮飯的地方)。,這是我們的廚房。,煮飯的地方,Hpuy-an =nami ka nii.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0085,41,inline_slash_option,defer_handle_separately,你今天(現在)/明天/昨天/剛才去哪裡？,,,M-ha =su inu ka sayang/saman/*shiga/*suni?
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0087,41,alt_translation,split_two_TRANSL_primary_plus_ver_alt,我在吃飯。(正在吃),我在吃飯。,正在吃,M-kan =ku idaw.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0088,41,alt_translation,split_two_TRANSL_primary_plus_ver_alt,我正要吃飯。(尚未吃),我正要吃飯。,尚未吃,M-m-kan =ku idaw.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0103,44,alt_translation,split_two_TRANSL_primary_plus_ver_alt,要來這裡了(在路上),要來這裡了,在路上,gisu hini.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0104,44,alt_translation,split_two_TRANSL_primary_plus_ver_alt,剛剛到達這裡(已看到人),剛剛到達這裡,已看到人,nii hini.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0182,78,explanatory_note,do_nothing,這個背包(籃子)是誰的？,,,N-nima ka n-apa nii?
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0185,79,explanatory_note,do_nothing,這個鏡子是我擦(過)的。,,,S-n-rus =mu ka lihaw nii.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0204,84,alt_translation,split_two_TRANSL_primary_plus_ver_alt,為什麼你身上汗味那麼重？(為什麼你身上都是汗味？),為什麼你身上汗味那麼重？,為什麼你身上都是汗味？,Ma =su s-mring bi.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0219,88,explanatory_note,do_nothing,那個人的工作是(專門)養牛的。(那個人的工作是買賣牛的),,,T-m-kacing ka qpah-un seejiq gaga.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0226,90,explanatory_note,do_nothing,你為什麼常常喝酒(酗酒)？,,,Ma =su t-m-sinaw kdjiyax?
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0236,93,explanatory_note,do_nothing,(身體)變好了。,,,Wada maa-malu da.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0255,109,alt_translation,split_two_TRANSL_primary_plus_ver_alt,你快點瘦下來(你快點使身體瘦下來)。,你快點瘦下來。,你快點使身體瘦下來,K-lhkah hari ka hiyi =su.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0256,109,alt_translation,split_two_TRANSL_primary_plus_ver_alt,他會變瘦的原因是因為都不吃飯。(他不吃飯是為了使身體變瘦),他會變瘦的原因是因為都不吃飯。,他不吃飯是為了使身體變瘦,S-k-lhkah =na o ini ekan n-hapuy.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0281,125,alt_translation,split_two_TRANSL_primary_plus_ver_alt,Lowking 正在擦眼睛(揉眼睛)。,Lowking 正在擦眼睛。,揉眼睛,Nii s-m-rus dowriq ka Lowking.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0286,127,alt_translation,split_two_TRANSL_primary_plus_ver_alt,他跑的非常快(他跑步就像燕子一樣快)。,他跑的非常快。,他跑步就像燕子一樣快,Asi saw klaway knslkag-an =niya t-m-alang.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0288,127,alt_translation,split_two_TRANSL_primary_plus_ver_alt,我的腎生病了。(我的腎很痛),我的腎生病了。,我的腎很痛,M-narux bi ka qurug =mu.
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0293,129,alt_translation,split_two_TRANSL_primary_plus_ver_alt,不要吵好嗎？(不要出聲好嗎？),不要吵好嗎？,不要出聲好嗎？,Iya s-quwaq hug?
HSU_LOWKING_TRUKU_WORDFORMATION_2008_RAW_0296,130,alt_translation,split_two_TRANSL_primary_plus_ver_alt,星星出來了。(* 螢火蟲出來了),星星出來了。,* 螢火蟲出來了,T-pngrah da.
