source_locator,reader_page,example_label,target_candidate,translation_candidate,method,review_status,review_note
page-047,47,3-1,a�nipu’a kee sua pa’ici,酒他買的。,Official positioned text XML; must be checked against page image,REVIEWED_EXPANDED,Page image contains subexamples 3-1a-e; source ledger retains sentences a-c and excludes noun phrases d-e
page-067,67,4-1,’esi marivura’ʉna seto sua takituturua,老師打學生。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Restored spacing before na and final punctuation from page image
page-067,67,4-2,te maku arivura’ʉn sua tacau isa,我要打那隻狗。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored from page image
page-067,67,4-3,te ku tikirimi karu�tia siarivʉra’ʉcau isa,我要找木頭，用來打那個人。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Replacement character resolved as printed clause boundary; spaces restored
page-067,67,4-4,tanasʉn mia miana sua Na’usurana,藤苞山13是我們以前的部落。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Footnote marker removed from translation; final punctuation restored
page-068,68,4-5,’esi rumaravisi cʉnʉtee Saupu,Saupu他們在拔草。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Spaces and final punctuation restored from page image
page-068,68,4-6,ka’anʉ’itúmuru kari Pani,Pani話不多。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Space after negative marker and final punctuation restored
page-068,68,4-7,koo pa Pusinga si’icʉpʉ,Pusinga還沒睡。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored from page image
page-068,68,4-8,"sua cani isi ia, muiara’usu",這首歌叫《’usu慢走》。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Space before quoted name and final punctuation restored
page-069,69,4-9,"rorovana ia, upeni takananga kasu kumakʉnʉ?",晚上你幾點吃飯？,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-069,69,4-10,’una tassa sasarunai na pipiningi,外面有兩個男人。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored from page image
page-069,69,4-11,’akia cau arakuracʉ,沒有人生氣。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Final punctuation restored from page image
page-069,69,4-12,mate’a ti’ingi kʉna!,請留下一點吃的！,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-069,69,4-13,’apacacoo manu musu!,讓你的孩子笑！,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-070,70,4-14,’akuni arapipiningi soni!15,今天不要出去！,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Footnote marker 15 removed from target
page-070,70,4-15,neni sua nimovua kasua urucin sinatʉisi,給你這兩本書的是誰？,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Space before isi and final punctuation restored
page-070,70,4-16,upeni sua cenana musu?,你的歲數是多少？,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-070,70,4-17,’acuu nanu nguani?,他們去哪裡了？,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-070,70,4-18,te kasu múkusa nananu muranʉ?,你要去哪些地方幫忙？,Official positioned text XML; must be checked against page image,REVIEWED_CONFIRMED,Confirmed directly from page image
page-071,71,4-19,makananu sua Pori?,是名詞組居多，以下我們先談名詞組內部的詞序，再談謂語裡面各成分的詞序。,Official positioned text XML; must be checked against page image,REVIEWED_CORRECTED,Unrelated prose replaced with printed aligned translation
page-071,71,4-20,vatu tatia,,Official positioned text XML; must be checked against page image,REVIEWED_EXCLUDED,Noun phrase rather than a complete sentence
page-072,72,4-21,uturu tarukuka musu,,Official positioned text XML; must be checked against page image,REVIEWED_EXCLUDED,Noun phrase rather than a complete sentence
