pdf_page	printed_page	corpus_ids	excluded_ids	visual_status	reviewed_utc	note
1	253			confirmed	2026-07-22T13:42:28Z	Article opening, source dialect note, and CC BY 4.0 statement checked
2	254	1a,1b,2a,2b,2c,3a		confirmed	2026-07-22T13:42:28Z	Accepted forms, glosses, and translations checked
3	255	3b,4a,4b,4c,5a		confirmed	2026-07-22T13:42:28Z	Formosan examples checked, including the starred contrast
4	256	6a,6b		confirmed	2026-07-22T13:42:28Z	Accepted forms, glosses, and translations checked
5	257	7a,7b,8a,8b,8c		confirmed	2026-07-22T13:42:28Z	Formosan examples checked, including independently printed repetitions
6	258		9	confirmed	2026-07-22T13:42:28Z	Theoretical feature list checked
7	259	10a,10b,11a,11b	12	confirmed	2026-07-22T13:42:28Z	Examples and analysis tree checked
8	260	14a,14b,15a	13	confirmed	2026-07-22T13:42:28Z	Formosan examples, footnote correction, and theory diagram checked
9	261	15b	16	confirmed	2026-07-22T13:42:28Z	Example and analysis tree checked
10	262	18a,18b,19a	17	confirmed	2026-07-22T13:42:28Z	Formosan word forms and example checked; theory diagram excluded
11	263	19b,19c,20		confirmed	2026-07-22T13:42:28Z	Accepted forms, glosses, and translations checked
12	264	21a,21b,21c,21d		confirmed	2026-07-22T13:42:28Z	All Formosan examples checked, including the starred contrast
13	265	23a,23b,23c,23d	22	confirmed	2026-07-22T13:42:28Z	Formosan examples checked, including marginal contrasts; theory diagram excluded
14	266	23e,24a,24b,25a,25b		confirmed	2026-07-22T13:42:28Z	Formosan examples checked, including the independently printed repetition
15	267	27a,27b	26	confirmed	2026-07-22T13:42:28Z	Formosan examples checked; theory diagram excluded
16	268	28a,28b,29a,29b,30a,30b	31	confirmed	2026-07-22T13:42:28Z	Formosan examples checked; theoretical definition excluded
17	269		32,33,34	confirmed	2026-07-22T13:42:28Z	Theoretical definitions and trees checked
18	270		35	confirmed	2026-07-22T13:42:28Z	Theoretical definition checked
19	271	37,38	36	confirmed	2026-07-22T13:42:28Z	Positive examples and analysis tree checked
20	272	39,40,41a,41b		confirmed	2026-07-22T13:42:28Z	All Formosan examples checked; 41b published gloss reads take
21	273	42a,42b,43,44		confirmed	2026-07-22T13:42:28Z	Accepted forms, glosses, and translations checked
22	274	46,47	45	confirmed	2026-07-22T13:42:28Z	Formosan examples checked; theory diagram excluded
23	275			confirmed	2026-07-22T13:42:28Z	Analysis prose; no numbered data examples
24	276	48a,48b,49a,49b,50		confirmed	2026-07-22T13:42:28Z	All Formosan examples checked, including the starred contrast
25	277	51,52a,52b,52c,53		confirmed	2026-07-22T13:42:28Z	All Formosan examples checked, including the starred contrast
26	278	54a,54b		confirmed	2026-07-22T13:42:28Z	All Formosan examples checked, including the starred contrast
27	279	54c,54d,55a,55b,55c,55d		confirmed	2026-07-22T13:42:28Z	All Formosan examples checked, including starred contrasts
28	280	56a,56b,56c,56d,57a,57b,57c,57d		confirmed	2026-07-22T13:42:28Z	All Formosan phrase and sentence examples checked
29	281	59a,59b,60a,60b	58	confirmed	2026-07-22T13:42:28Z	Positive examples and analysis tree checked
30	282		61,62	confirmed	2026-07-22T13:42:28Z	Analysis tree and Tzotzil comparison examples checked
31	283			confirmed	2026-07-22T13:42:28Z	Analysis prose; no numbered data examples
32	284		63	confirmed	2026-07-22T13:42:28Z	English comparison examples checked
33	285			confirmed	2026-07-22T13:42:28Z	Analysis and conclusion; no numbered data examples
34	286			confirmed	2026-07-22T13:42:28Z	Conclusion; no numbered data examples
35	287			confirmed	2026-07-22T13:42:28Z	References
36	288			confirmed	2026-07-22T13:42:28Z	References
37	289			confirmed	2026-07-22T13:42:28Z	References
38	290			confirmed	2026-07-22T13:42:28Z	Blank trailing page
