language	source_id	printed_page	pdf_page	focus	visual_result
Kavalan	2a	254	2	infix and clitic alignment	Confirmed q‹um›uni=isu against <AV>do.what=2SG.ABS and the free translation.
Kavalan	3b	255	3	starred slash alternative	Confirmed the source asterisk, q‹m›an, tu/ya, OBL/ABS, and intended translation.
Amis	6a	256	4	apostrophe and segmentation	Confirmed mi-sni’, t-u, and the aligned AV-pour and OBL-CN glosses.
Amis	10a	259	7	two translation readings	Confirmed the printed slash between the two English readings.
Amis	14a	260	8	q spelling and footnote correction	Confirmed printed tuniq-en, body translation, and footnote 6 alternate translation.
Amis	14b	260	8	starred untranslated contrast	Confirmed the source asterisk, full gloss line, and absence of a free translation.
Amis	18a	262	10	unglossed starred word form	Confirmed that the source supplies only * mi-nanum-en with no gloss or translation.
Amis	19a	262	10	wrapped interlinear alignment	Confirmed infix notation and both wrapped form/gloss lines through aku and 1SG.GEN.
Kavalan	23a	265	13	marginality marker	Confirmed the question-mark status and intended translation.
Kavalan	23d	265	13	marginal wrapped example	Confirmed infix notation, the final tu tina-na line, and its intended translation.
Kavalan	24a	266	14	optional na prefix	Confirmed (na)quni-an-su and the unsplit do.what-PV-2SG.ERG gloss.
Amis	25b	266	14	word and gloss columns	Confirmed all six word/gloss pairs and the free translation.
Kavalan	27b	267	15	repeated starred example	Confirmed the exact 3b form, slash gloss, and intended translation.
Amis	28b	268	16	starred full sentence	Confirmed all five word/gloss pairs and the intended translation.
Amis	30a	268	16	infix alignment	Confirmed k‹um›a’en against <AV>eat and the four following word/gloss pairs.
Kavalan	39	272	20	starred clitic form	Confirmed tanian=isu, its where=2SG.ABS gloss, and intended translation.
Kavalan	41a	272	20	multiple affixes and infix	Confirmed kin-tani-an-su=pa and p‹m›ukun against the complete gloss line.
Kavalan	41b	272	20	published gloss anomaly	Confirmed the printed <AV>take gloss and the free translation using bite.
Amis	42a	273	21	slash translation	Confirmed the full interlinear alignment and want/take translation.
Kavalan	46	274	22	starred clitic quantity form	Confirmed u-tani=isu, the complete gloss, and intended translation.
Kavalan	48a	276	24	optional secondary verb gloss	Confirmed that parenthetical pizi has the printed gloss put.
Kavalan	50	276	24	starred case alternative	Confirmed m-Rasa, tu/ya, OBL/ABS, and intended translation.
Amis	51	277	25	starred compound slash alternative	Confirmed mi-pacu’, t-u/k-u, OBL-CN/ABS-CN, and intended translation.
Kavalan	54b	278	26	starred untranslated infix example	Confirmed the complete gloss line and absence of a free translation.
Amis	55b	279	27	starred untranslated when example	Confirmed all five word/gloss pairs and absence of a free translation.
Kavalan	56b	280	28	clitic linker phrase	Confirmed zau=ay against this=REL and the phrase translation.
Amis	57b	280	28	optional linker	Confirmed parenthetical a has the printed gloss LNK.
Kavalan	59a	281	29	constituent brackets and literal translation	Confirmed the bracketed phrase, all word/gloss pairs, and literal reading.
Amis	60a	281	29	bracketed which phrase	Confirmed the bracketed constituent and all six word/gloss pairs.
Amis	60b	281	29	bracketed whose phrase	Confirmed the bracketed constituent and all eight word/gloss pairs.
