s_id	w_id	resolution	source_url	source_head	translation
S623_1	S623_1W2	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/11/paiwan-every-day-623-kasiv-kinikasiv.html	'uyulj or quyulj	bundle
S592_1	S592_1W9	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/10/paiwan-every-day-592.html	'i-valit or ki-valit	to get change
S592_1	S592_1W10	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/10/paiwan-every-day-592.html	a'en or aken	I, 1st person SIN NOM
S569_1	S569_1W25	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-569-bulay.html	kata or katua	with, and
S551552553_1	S551552553_1W7	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/09/paiwan-every-day-551552553-ciupan.html	tua or ta	OBL
S535_1	S535_1W11	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/08/paiwan-every-day-535-asaw.html	'ata or kata	and
S535_1b	S535_1bW11	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/08/paiwan-every-day-535-asaw.html	'ata or kata	and
S510_1	S510_1W4	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-510-ama-kama.html	kama or ama	father, or male elder
S507_1	S507_1W10	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-507-alim-maalim.html	na or nua	of, GEN
S506_1	S506_1W5	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-506-alay-kala.html	alay or kala	thin thread
S502_1	S502_1W2	restored_exact_live_word_gloss	https://yeddapalemeq.blogspot.com/2021/07/paiwan-every-day-502-aladji.html	sa-(a)ladi or pa-sa-(a)ladji	I don't want to.
