pdf_page,printed_page,source_locator,page_entry_record,target_text,translation_gloss_segmentation,method,confidence_review_note,included,exclusion_reason,final_xml_path,final_s_id
1,116,p116 heading and running title,article metadata,,I 開基之歌; (1) 原文; running title and author surname,manual visual inventory of rendered scan,high; Visually reviewed,false,"Bibliographic and structural metadata, not a target-language sentence",,
1,116,"attachment PDF p. 1; printed p. 116, row 1",kaiki sentence 1,"Aiyan nu aiyan, dauduwai laitah",要論古代,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s001
1,116,"attachment PDF p. 1; printed p. 116, row 2",kaiki sentence 2,"Apu Tia mahatadupurai,",祖知仔是視察,manual transcription from scan; OCR used only as a diagnostic,high; Source-final comma preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s002
1,116,"attachment PDF p. 1; printed p. 116, row 3",kaiki sentence 3,rubuh rubh a kauwas.,地下,manual transcription from scan; OCR used only as a diagnostic,high; Second rubh is intentionally shorter than first,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s003
1,116,"attachment PDF p. 1; printed p. 116, row 4",kaiki sentence 4,"kitah kitah siaun, durrusippi lapilach",看々的是空虛,manual transcription from scan; OCR used only as a diagnostic,high; Iteration mark preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s004
1,116,"attachment PDF p. 1; printed p. 116, row 5",kaiki sentence 5,"mahah dudul luwai, Apu magiauwas",則差遣祖馬堯日,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s005
1,116,"attachment PDF p. 1; printed p. 116, row 6",kaiki sentence 6,"matah lak-kang kauwas, papai rul-lung",由天隙坐雲降下,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s006
1,116,"attachment PDF p. 1; printed p. 116, row 7",kaiki sentence 7,"mahah kikiddehhai, rubbu rubbuh a kauwas",故隨降下地面,manual transcription from scan; OCR used only as a diagnostic,high; Typographic line-wrap in kauwas rejoined,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s007
1,116,"attachment PDF p. 1; printed p. 116, row 8",kaiki sentence 8,"kaduhu hauliak, ni apu Tiya",好法術祖知仔所賜的,manual transcription from scan; OCR used only as a diagnostic,high; Source capitalization preserved,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s008
1,116,"attachment PDF p. 1; printed p. 116, row 9",kaiki sentence 9,"maudadang daiya, mahah kaulah ngat-dai",黎明在東、故要號名,manual transcription from scan; OCR used only as a diagnostic,high; Direct comparison with scan,true,,XML/Pazeh/Nanpo_Dozoku_1931_Kaiki_no_Uta.xml,nanpo1931_kaiki_s009
