# NTU corpus QA baseline: the score each test achieved on the corpus as
# published. Regenerate ONLY with check_regressions.py --update, and only
# when the change that moved a number is understood and intended.
#
# subcorpus	test	percent
grammar	0 JSON record has an S block	100.0
grammar	1 S FORM non-empty	100.0
grammar	10 M Mandarin gloss carries Han	98.0
grammar	11 Mandarin free translation non-empty	100.0
grammar	12 M has a FORM	100.0
grammar	13 S has a W tier	43.9
grammar	14 S FORM has no Han	100.0
grammar	15 zho TRANSL carries Han	98.8
grammar	17 M has an English gloss	2.0
grammar	18 M English gloss is free of Han	100.0
grammar	19 W has a Mandarin gloss	99.7
grammar	2 W FORM and TRANSL non-empty	99.7
grammar	20 W has an English gloss	0.0
grammar	21 Mandarin gloss aligns with form	98.0
grammar	3 #W accounts for S FORM words	43.9
grammar	4 W FORM has no Han	100.0
grammar	5 W FORMs reconstitute S FORM	32.2
grammar	6 every implied morpheme has an M	100.0
grammar	7 M has a Mandarin gloss	99.1
grammar	8 M FORMs recombine to W FORM	99.7
grammar	9 M FORM has no Han	100.0
sentences	0 JSON record has an S block	100.0
sentences	1 S FORM non-empty	100.0
sentences	10 English free translation non-empty	99.7
sentences	11 Mandarin free translation has no English	78.2
sentences	12 English free translation has no Han	99.8
sentences	13 M with a FORM has both glosses	97.9
sentences	14 M has content in its FORM	100.0
sentences	15 S has a W tier	98.8
sentences	17 every implied morpheme has an M	99.9
sentences	2 W FORM and both TRANSLs non-empty	99.8
sentences	3 #W accounts for S FORM words	98.8
sentences	4 W FORM has no Han	100.0
sentences	5 W FORMs reconstitute S FORM	91.1
sentences	6 morpheme count matches both glosses	98.1
sentences	7 W English gloss has no Han	99.9
sentences	8 W Mandarin gloss has no lower-case Latin	97.4
sentences	9 Mandarin free translation non-empty	99.5
stories	0 JSON record has an S block	98.4
stories	1 S FORM non-empty	100.0
stories	10 English free translation non-empty	99.8
stories	11 Mandarin free translation has no English	93.2
stories	12 English free translation has no Han	99.9
stories	13 M with a FORM has both glosses	98.3
stories	14 M has content in its FORM	100.0
stories	15 S has a W tier	98.8
stories	17 every implied morpheme has an M	98.6
stories	2 W FORM and both TRANSLs non-empty	99.3
stories	3 #W accounts for S FORM words	98.8
stories	4 W FORM has no Han	100.0
stories	5 W FORMs reconstitute S FORM	90.8
stories	6 morpheme count matches both glosses	98.4
stories	7 W English gloss has no Han	100.0
stories	8 W Mandarin gloss has no lower-case Latin	99.5
stories	9 Mandarin free translation non-empty	99.9
