language,ilrdf_headword,token,branch_sentence_id,full_sentence
Kavalan,duki,tangi?B,Kavalan_1258,A: utani ti duki tangi?B: tangi tuRabi usiwa duki yau uzusa betin ti duki.
Kavalan,kemilim,timaikuan?B,Kavalan_1753,A: tiana kemilim ay timaikuan?B: ti panay kemilim ay timaisuan.
Kavalan,nanlima,pelulu?B,Kavalan_3742,A: nantani aimu tu pelulu?B: nanlima aimi tu pelulu.
Kavalan,nantina,pelulu?B,Kavalan_3761,A: nantina aimu tu pelulu?B: nanlima aimi tu pelulu.
Kavalan,nitabuan,tanian?nitabuan,Kavalan_4471,nitabuan ku ʼmay pizian su tanian?nitabuan ku ti manna tatasan su uman?
Kavalan,pasaRuRan,ni?B,Kavalan_5272,A: pasaRuRan su ti Ribang ʼnay ni?B: pun ti iku pasaRuR tu Ribang ʼnay.
Kavalan,sabulan,ni?B,Kavalan_7620,"A: leppaw zau sabulan qalepun su semangi ni?B: kinnausa lazat semangi, sabulan qalepun."
Puyuma,mu,yi?ncumin,Puyuma_5262,a yi?ncumin mu i Taiwan?
Rukai,makulrungu,su?Asu,Rukai_8895,Makulrungu su?Asu kaimaka kilalra?
Truku,empshungi,da?ita,Truku_4757,Empshungi su knan da?ita nanak ka yaku o!
Yami,ingenan,ori?mo,Yami_1832,ji na ingenan ori?mo bakbakan jia.
Yami,ingenan,ori?mo,Yami_1834,ji na ingenan ori?mo kabakbak jia.
Yami,kabakbak,ori?mo,Yami_2312,ji na ʼingenan ori?mo kabakbak jia.
Yami,pacitan,ang?pacitan,Yami_6923,ikongo mo tayoaen ang?pacitan pala!
Yami,tayoen,ang?pacitan,Yami_8229,ikongo mo tayoen ang?pacitan pala!
