status,example,subexample,page,form,word_form,raw_form,source_judgement,retained_xml_id,translation_zho,raw_ocr_gloss,source_gloss,aligned_gloss_tokens_zho,ocr_match_score,ocr_note,note
include,1,,33,mi-pa-baybay ci Taydung.,mi-pa-baybay ci Taydung.,mi-pa-baybay ci Taydung.,,,Taydung 在掛蚊帳。,主焦-PA-蚊帳 主格人名,主焦-PA-蚊帳 主格 人名,"[""主焦-PA-蚊帳"",""主格"",""人名""]",1.000,,
include,2,,33,maluk kaku tu lutuk nu kalitang.,maluk kaku tu lutuk nu kalitang.,maluk kaku tu lutuk nu kalitang.,,,我在除花生園的雜草。,除草 我.主格 斜格 草 蟨格 花生,除草 我.主格 斜格 草 屬格 花生,"[""除草"",""我.主格"",""斜格"",""草"",""屬格"",""花生""]",1.000,,
include,3,,33,takalaw ku pa-cudad-an nu maku.,takalaw ku pa-cudad-an nu maku.,takalaw ku pa-cudad-an nu maku.,,,我的書架很高。,高 主格 PA-書-處焦 屬格 m-我.靥格,高 主格 PA-書-處焦 屬格 m-我.屬格,"[""高"",""主格"",""PA-書-處焦"",""屬格"",""m-我.屬格""]",1.000,,
include,4,,33,u kadabu ni Buya kaku.,u kadabu ni Buya kaku.,u kadabu ni Buya kaku.,,,我是Buya 的媳婦。,普名標記 媳婦 屬格人名 我.主格,普名標記 媳婦 屬格 人名 我.主格,"[""普名標記"",""媳婦"",""屬格"",""人名"",""我.主格""]",1.000,,
include,5,,34,i umah ci baki.,i umah ci baki.,i umah ci baki.,,,叔叔在田裡。,處所格 田地 主格 長輩,處所格 田地 主格 長輩,"[""處所格"",""田地"",""主格"",""長輩""]",1.000,,
include,6,,34,mi-bidaul ci Panay i umah.,mi-bidaul ci Panay i umah.,mi-bidaul ci Panay i umah.,,,Panay 在田裡摘黃瓜。,主焦-黃瓜 主格人名 處所格 田裡,主焦-黃瓜 主格 人名 處所格 田裡,"[""主焦-黃瓜"",""主格"",""人名"",""處所格"",""田裡""]",1.000,,
include,7,,34,mi-balakas ku wacu tu nani'.,mi-balakas ku wacu tu nani'.,mi-balakas ku wacu tu nani'.,,,狗逗小貓。,主焦-說笑 主格 狗 斜格 貓,主焦-說笑 主格 狗 斜格 貓,"[""主焦-說笑"",""主格"",""狗"",""斜格"",""貓""]",1.000,,
include,8,,35,mi-cengel-an ku kalaw ni Taymu.,mi-cengel-an ku kalaw ni Taymu.,mi-cengel-an ku kalaw ni Taymu.,,,Taymu 的眉毛是染色的。,主焦-染-AN 主格 眉毛 靥格 人名,主焦-染-AN 主格 眉毛 屬格 人名,"[""主焦-染-AN"",""主格"",""眉毛"",""屬格"",""人名""]",1.000,,
include,9,,35,mi-kiskis tu banuh nu pabuy.,mi-kiskis tu banuh nu pabuy.,mi-kiskis tu banuh nu pabuy.,,,刮豬毛。,主焦-刮 斜格 毛 屬格 豬,主焦-刮 斜格 毛 屬格 豬,"[""主焦-刮"",""斜格"",""毛"",""屬格"",""豬""]",0.957,,
include,10,,35,mi-lawlaw ci Kacaw i ci Panay-an.,mi-lawlaw ci Kacaw i ci Panay-an.,mi-lawlaw ci Kacaw i ci Panay-an.,,,Kacaw 擾亂 Panay。,主焦-鬧 主格 人名 處所格 斜格 Panay-斜格,主焦-吵鬧 主格 人名 處所格 斜格 Panay-斜格,"[""主焦-吵鬧"",""主格"",""人名"",""處所格"",""斜格"",""Panay-斜格""]",0.981,PDF page-image verified interlinear column alignment.,
