unit_id	representation	physical_page	example	evidence
ILCAA_KANAKANAVU_TEXTS_006_TRANSFORMING_INTO_A_MONKEY_U0004	form_variants	53	4	makaasu(a); optional final vowel, same in.that.way gloss
ILCAA_KANAKANAVU_TEXTS_008_A_LEGENDARY_MALICIOUS_SPIRIT_U0001	form_variants	55	1	tee/tia; footnote 14 explicitly describes variation, same FUT gloss
ILCAA_KANAKANAVU_TEXTS_010_STORY_OF_A_KANAKANAVU_GIRL_WHO_WAS_MARRIED_TO_A_SNAKE_U0014	form_variants	71	14	cəpəŋ-in(i); optional final vowel, same 3.GEN gloss
ILCAA_KANAKANAVU_TEXTS_011_NAPARAMACI_U0088	form_variants	93	88	ma-ʔanivi-(i)ni; optional vowel, same 3.GEN gloss
ILCAA_KANAKANAVU_TEXTS_011_NAPARAMACI_U0102	form_variants	95	102	(a)va=ʔai; optional initial vowel, same in.fact gloss
ILCAA_KANAKANAVU_TEXTS_040_A_GHOST_STORY_U0009	form_variants	231	9	(h)aan=ci; optional initial consonant, same Where.gone gloss
ILCAA_KANAKANAVU_TEXTS_000_GRAMMATICAL_INTRODUCTION_EXAMPLES_U0024	clause_brackets	24	23a	Square brackets delimit the pseudo-cleft clause; four printed word/gloss columns
ILCAA_KANAKANAVU_TEXTS_000_GRAMMATICAL_INTRODUCTION_EXAMPLES_U0025	clause_brackets	24	23b	Three word/gloss columns; retain admitted kaən-a and exclude starred kaən-ən=musu
ILCAA_KANAKANAVU_TEXTS_000_GRAMMATICAL_INTRODUCTION_EXAMPLES_U0026	clause_brackets	24	23c	Square brackets delimit the pseudo-cleft clause; four printed word/gloss columns
ILCAA_KANAKANAVU_TEXTS_000_GRAMMATICAL_INTRODUCTION_EXAMPLES_U0027	clause_brackets	24	23d	Square brackets delimit the pseudo-cleft clause; four printed word/gloss columns
