file	sentence	word	form	gloss	morphemes	gloss_units
Kalaku1	S4	S4W1	a-pnerek-em	unan-(next-morning)	3	2
Kalaku1	S5	S5W3	vanuad-em	wharf	2	1
Kalaku1	S11	S11W4	dewdew-em	foreigners	2	1
Kalaku1	S11b	S11bW4	dewdew-em	foreigners	2	1
Kalaku1	S12	S12W1	maluvut-neme-rana-m	all-us-completely	4	3
Kalaku1	S14	S14W2	namen-em	we	2	1
Kalaku1	S15	S15W4	araw-em	sun	2	1
Kalaku1	S19	S19W3	di-taytu-em	unan-Taytu	3	2
Kalaku2	S5	S5W4	ma-tika-rana-m	unan-finish-completely	4	3
Kalaku2	S6	S6W8	asa-ka-tau-em	one-CM-person	4	3
Kalaku2	S9	S9W6	kwan-a-m	said-he	3	2
Kalaku3	S1	S1W2	mang-anak-u-em	dear-children-my	4	3
Kalaku3	S1	S1W6	panchy-an-da-ninyu-em	say-unan-they-you(pl)	5	4
Kalaku3	S5	S5W1	tapekenukakme-namen-di-nyu-em	unan-we-to-you(pl)	5	4
Kalaku3	S5	S5W2	mi-vi-varay-em	unan-unan-work	4	3
Kalaku3	S7	S7W4	tukun-em	mountain	2	1
Kalaku3	S8	S8W1	puken-em	not	2	1
Kalaku3	S8b	S8bW1	puken-em	not	2	1
Kalaku4	S1	S1W3	kakwa	long-time-ago	1	3
Kalaku4	S2	S2W3	madegdeg	early-morning	1	2
Kalaku4	S2b	S2bW3	madegdeg	early-morning	1	2
Kalaku4	S2b	S2bW5	d-imurud	from	2	1
Kalaku4	S4	S4W6	utwen	cold-food	1	2
Kalaku4	S7	S7W4	nikumagat	ship-wreck	1	2
Kalaku4	S15	S15W3	kari	get-out	1	2
Kalaku4	S16	S16W4	chyaa?	it-doesn't-matter	1	3
Kalaku4	S19	S19W2	kari	get-out	1	2
Kalaku4	S21	S21W2	panisiringen-da-m	leader-their	3	2
Kangkang	S8	S8W3	anak-ne-m	child-her	3	2
Kangkang	S10	S10W5	anak-ne-m	child-his	3	2
Kangkang	S13	S13W2	s-ama-na-m	NM-father-his	4	3
Kangkang	S16	S16W3	tatala-m	boat	2	1
Kangkang	S21	S21W2	sira-m	they	2	1
Kangkang	S27	S27W4	sire-m	they	2	1
Kangkang	S30	S30W3	anak-ne-m	child-her	3	2
Kangkang	S31	S31W3	anak-ne-m	child-her	3	2
Kangkang	S32	S32W2	s-ina-na-m	NM-mother-his	4	3
Kangkang	S32	S32W7	anak-em	child	2	1
Kangkang	S33	S33W1	simuskem	kill-with-boiling-water	1	4
Kangkang	S33b	S33bW1	tanu-di-muskem	if(unctn)-not-killed-with-boiling-water	3	6
Kangkang	S34	S34W1	sidikangusem	see-if-you-will-be-killed(unctn)	1	6
Kangkang	S36	S36W3	ina-na-m	mother-his	3	2
Kangkang	S39	S39W3	ana-na-m	father-his	3	2
Kangkang	S39	S39W5	ta-ka-mu	we-incl(EA)	3	2
Kangkang	S40	S40W5	ta-ka-mu	we-incl(EA)	3	2
Kangkang	S41	S41W4	dinalulut	stick-weapons	1	2
Kangkang	S42	S42W3	kangkang-em	rooster	2	1
Kangkang	S42	S42W4	apwapwasena	pick-up-stones	1	3
Kangkang	S43	S43W3	katawtaw-na-m	body-his	3	2
Kwaway	S2	S2W1	k-ali-na-m	unan-dig-she	4	3
Kwaway	S33	S33W8	vaunda	take-up(unctn)	1	2
Kwaway	S59	S59W2	yaken-em	me	2	1
