xml_file,text_id,sentence_id,xml_type,formosan_lang,target_lang,record_id,pair,status,high_risk_issues,review_issues,form,translation,raw_path,source_url
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000001,lexical,ami,eng,GLOSBE_DICT_470257051e168578,"ami,en",pass,,,Cudad,book,data/raw/html/static/ami_en/Cudad.html,https://glosbe.com/ami/en/Cudad
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000002,lexical,ami,eng,GLOSBE_DICT_156f8d75580aa495,"ami,en",pass,,,Itini,here,data/raw/html/static/ami_en/Itini.html,https://glosbe.com/ami/en/Itini
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000003,lexical,ami,eng,GLOSBE_DICT_b4f8f8631cec039f,"ami,en",pass,,,Kawas,God,data/raw/html/static/ami_en/Kawas.html,https://glosbe.com/ami/en/Kawas
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000003,lexical,ami,eng,GLOSBE_DICT_9b67fbb26fd725fb,"ami,en",pass,,,Kawas,ghost,data/raw/html/static/ami_en/Kawas.html,https://glosbe.com/ami/en/Kawas
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000003,lexical,ami,eng,GLOSBE_DICT_4ee61c8535e11b0f,"ami,en",pass,,,Kawas,heaven,data/raw/html/static/ami_en/Kawas.html,https://glosbe.com/ami/en/Kawas
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000004,lexical,ami,eng,GLOSBE_DICT_f01fc254874c9a7c,"ami,en",pass,,,Yihofa,Jehovah,data/raw/html/static/ami_en/Yihofa.html,https://glosbe.com/ami/en/Yihofa
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000005,lexical,ami,eng,GLOSBE_DICT_d30dbac6c1180628,"ami,en",pass,,,a,and,data/raw/html/static/ami_en/a.html,https://glosbe.com/ami/en/a
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000006,lexical,ami,eng,GLOSBE_DICT_f183525cf99fa1d9,"ami,en",pass,,,ako,I,data/raw/html/static/ami_en/ako.html,https://glosbe.com/ami/en/ako
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000007,lexical,ami,eng,GLOSBE_DICT_06cfd412d0e2aae0,"ami,en",pass,,,ato,and,data/raw/html/static/ami_en/ato.html,https://glosbe.com/ami/en/ato
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000008,lexical,ami,eng,GLOSBE_DICT_d461f57b5a555472,"ami,en",pass,,,cecay,one,data/raw/html/static/ami_en/cecay.html,https://glosbe.com/ami/en/cecay
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000009,lexical,ami,eng,GLOSBE_DICT_5a36caa80372c024,"ami,en",pass,,,ciira,he,data/raw/html/static/ami_en/ciira.html,https://glosbe.com/ami/en/ciira
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000009,lexical,ami,eng,GLOSBE_DICT_c529b98d01079c3e,"ami,en",pass,,,ciira,him,data/raw/html/static/ami_en/ciira.html,https://glosbe.com/ami/en/ciira
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000009,lexical,ami,eng,GLOSBE_DICT_54e08ea8ed9374f6,"ami,en",pass,,,ciira,she,data/raw/html/static/ami_en/ciira.html,https://glosbe.com/ami/en/ciira
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000010,lexical,ami,eng,GLOSBE_DICT_4a1516893eb42743,"ami,en",pass,,,cingra,create,data/raw/html/static/ami_en/cingra.html,https://glosbe.com/ami/en/cingra
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000010,lexical,ami,eng,GLOSBE_DICT_b863654b6ef55464,"ami,en",pass,,,cingra,he,data/raw/html/static/ami_en/cingra.html,https://glosbe.com/ami/en/cingra
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000011,lexical,ami,eng,GLOSBE_DICT_69751e4d46ff3bcb,"ami,en",pass,,,cowa,little,data/raw/html/static/ami_en/cowa.html,https://glosbe.com/ami/en/cowa
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000012,lexical,ami,eng,GLOSBE_DICT_b9615f0f6a572fb1,"ami,en",pass,,,futing,fish,data/raw/html/static/ami_en/futing.html,https://glosbe.com/ami/en/futing
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000013,lexical,ami,eng,GLOSBE_DICT_6311a8e45731b9be,"ami,en",pass,,,ina,mom,data/raw/html/static/ami_en/ina.html,https://glosbe.com/ami/en/ina
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000013,lexical,ami,eng,GLOSBE_DICT_e0a40a76b920eefa,"ami,en",pass,,,ina,mother,data/raw/html/static/ami_en/ina.html,https://glosbe.com/ami/en/ina
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000013,lexical,ami,eng,GLOSBE_DICT_817d2bade5a829dc,"ami,en",pass,,,ina,mum,data/raw/html/static/ami_en/ina.html,https://glosbe.com/ami/en/ina
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000014,lexical,ami,eng,GLOSBE_DICT_a4d7e1ac4b6049cd,"ami,en",pass,,,kaka,brother,data/raw/html/static/ami_en/kaka.html,https://glosbe.com/ami/en/kaka
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000014,lexical,ami,eng,GLOSBE_DICT_d5effd936680de93,"ami,en",pass,,,kaka,older brother,data/raw/html/static/ami_en/kaka.html,https://glosbe.com/ami/en/kaka
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000014,lexical,ami,eng,GLOSBE_DICT_5f4848b801e5d657,"ami,en",pass,,,kaka,older sibling,data/raw/html/static/ami_en/kaka.html,https://glosbe.com/ami/en/kaka
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000014,lexical,ami,eng,GLOSBE_DICT_f6af877e7d9b948d,"ami,en",pass,,,kaka,older sister,data/raw/html/static/ami_en/kaka.html,https://glosbe.com/ami/en/kaka
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000015,lexical,ami,eng,GLOSBE_DICT_7a51518b5a673cce,"ami,en",pass,,,kako,I,data/raw/html/static/ami_en/kako.html,https://glosbe.com/ami/en/kako
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000015,lexical,ami,eng,GLOSBE_DICT_62f9b69f64c36cf8,"ami,en",pass,,,kako,me,data/raw/html/static/ami_en/kako.html,https://glosbe.com/ami/en/kako
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000016,lexical,ami,eng,GLOSBE_DICT_8d3f1385d99dcdfa,"ami,en",pass,,,kami,go,data/raw/html/static/ami_en/kami.html,https://glosbe.com/ami/en/kami
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000016,lexical,ami,eng,GLOSBE_DICT_d3f5b6d3915c4654,"ami,en",pass,,,kami,we,data/raw/html/static/ami_en/kami.html,https://glosbe.com/ami/en/kami
Final_XML/ami/Glosbe_ami_eng_lexical.xml,GLOSBE_ami_eng_LEXICAL,GLOSBE_ami_eng_LEXICAL_U000017,lexical,ami,eng,GLOSBE_DICT_81266d5550f31e28,"ami,en",pass,,,kawra,but,data/raw/html/static/ami_en/kawra.html,https://glosbe.com/ami/en/kawra
