id	field	before	after	reason	decision
li2014_thao_S001	translation	I know how to carry sweet potatoes and firewoodon my back.	I know how to carry sweet potatoes and firewood on my back.	Preserve the reviewed published English reading and sentence punctuation; printed source remains in reviewed_examples.tsv.	Published by Joshua in 541fa53e8; manual review recorded August 4, 2026.
li2014_thao_S004	translation	Having no mother or father, then (one is) sad listening (to the songs)	Having no mother or father, then (one is) sad listening (to the songs).	Preserve the reviewed published English reading and sentence punctuation; printed source remains in reviewed_examples.tsv.	Published by Joshua in 541fa53e8; manual review recorded August 4, 2026.
li2014_thao_S009	gloss	there DET some LIG erson and/then some LIG person fear<AF>	there DET some LIG person and/then some LIG person fear<AF>	Preserve the reviewed published English reading and sentence punctuation; printed source remains in reviewed_examples.tsv.	Published by Joshua in 541fa53e8; manual review recorded August 4, 2026.
li2014_thao_S015	translation	Because (he) was very capable when (he) was catching wildanimals	Because (he) was very capable when (he) was catching wild animals.	Preserve the reviewed published English reading and sentence punctuation; printed source remains in reviewed_examples.tsv.	Published by Joshua in 541fa53e8; manual review recorded August 4, 2026.
li2014_thao_S021	original	myaðáy a malan-ta-tnur t<m>aðam ya tima sa ma-ʔania panaq sa iðáy ɬpaðiSan.	myaðáy a malan-ta-tnur t<m>aðam ya tima sa ma-ʔania panaq sa iðáy ɬpaðiʃan.	Restore the reviewed Blust-dictionary S -> ʃ / D -> ð transcription correction before generating any tier.	Joshua reviewed source correction, published in 541fa53e8.
li2014_thao_S025	translation	I'll leave this noon	I'll leave this noon.	Preserve the reviewed published English reading and sentence punctuation; printed source remains in reviewed_examples.tsv.	Published by Joshua in 541fa53e8; manual review recorded August 4, 2026.
li2014_thao_S025	original	a muʃa iDa yaku ya saqaDi.	a muʃa iða yaku ya saqaði.	Restore the reviewed Blust-dictionary S -> ʃ / D -> ð transcription correction before generating any tier.	Joshua reviewed source correction, published in 541fa53e8.
li2014_thao_S026	translation	In the morning the lake is very foggy	In the morning the lake is very foggy.	Preserve the reviewed published English reading and sentence punctuation; printed source remains in reviewed_examples.tsv.	Published by Joshua in 541fa53e8; manual review recorded August 4, 2026.
li2014_thao_S026	original	ya ʃaʃanu maθuaw waDaqan maharbuk.	ya ʃaʃanu maθuaw waðaqan maharbuk.	Restore the reviewed Blust-dictionary S -> ʃ / D -> ð transcription correction before generating any tier.	Joshua reviewed source correction, published in 541fa53e8.
li2014_thao_S027	translation	Let's adopt a child	Let's adopt a child.	Preserve the reviewed published English reading and sentence punctuation; printed source remains in reviewed_examples.tsv.	Published by Joshua in 541fa53e8; manual review recorded August 4, 2026.
li2014_thao_S027	original	hadana ita iDa ya aDaDak.	hadana ita iða ya aðaðak.	Restore the reviewed Blust-dictionary S -> ʃ / D -> ð transcription correction before generating any tier.	Joshua reviewed source correction, published in 541fa53e8.
