source_row	source_form	form	evidence	raw_form
167	saso'araw kita anini.	Masaso'araw kita anini.	0.txt:728	Masaso'araw kita anini.
169	Tayra kami a milood cangraan. 'Arawhani papatapatay cangra o Taroko.	Tayra kami a milood cangraan. 'Arawhani papatapatay sa cangra o Taroko.	0.txt:750	Tayra kami a milood cagraan.  'Arawhani papatapatay sa cagra o Taroko.
276	sa'icel kako	sa'icel sa kako	0.txt:1303	sa'icel sa kako
304	Misa'imer ko Farisay a tamdaw to demak Yis.	Misa'imer ko Farisay a tamdaw to demak ni Yis.	0.txt:1432	Misa'imer ko Farisay a tamdaw to demak ni Yis.
320	O mala'isal kamo tatosa toya omah.	O mamala'isal kamo tatosa toya omah.	0.txt:1504	O mamala'isal kamo tatosa toya omah.
414	O ma'araway i lo'orip a tinako konini.	O ma'araway i kalo'orip a tinako konini.	0.txt:1985	O ma'araway i kalo'orip a tinako konini.
416	Ma'orong nira ko retengay a 'inorong.	Ma'orong nira ko karetengay a 'inorong.	0.txt:2026	Ma'orog nira ko karetegay a 'inorog.
444	sa'pi'pi ko riko' nira.	Masa'pi'pi ko riko' nira.	0.txt:2163	Masa'pi'pi ko riko' nira.
456	Awaay ko paka'esesay a somowal ngraan.	Awaay ko paka'esesay a somowal cingraan.	0.txt:2239	Awaay ko paka'esesay a somowal cigraan.
469	Caay ko ma'yof koya tamdaw.	Caay ko mama'yof koya tamdaw.	0.txt:2324	Caay ko mama'yof koya tamdaw.
542	Paaceken nira ko was.	Paaceken nira ko Kawas.	a.txt:53	Paaceken nira ko Kawas.
574	Alasadasadak cangra a militemoh tamiyanan.	Alasadasadak sa cangra a militemoh tamiyanan.	a.txt:216	Alasadasadak sa cagra a militemoh tamiyanan.
609	Maapacay ko 'orip no ngcah.	Maapacay ko 'orip no Pangcah.	a.txt:351	Maapacay ko 'orip no Pagcah.
620	ro' cingra a caciyaw.	Maro' sa cingra a caciyaw.	a.txt:402	Maro' sa cigra a caciyaw.
634	Palaawaen ko epoc no pasowal nira.	Palaawaen ko epoc no pipasowal nira.	a.txt:465	Palaawaen ko epoc no pipasowal nira.
725	Pacakaten ko tireng iso faloco' iso i was.	Pacakaten ko tireng iso faloco' iso i Kawas.	c.txt:506	Pacakaten ko tireg iso faloco' iso i Kawas.
734	cakeli ko rakat niyam.	Micakeli ko rakat niyam.	c.txt:567	Micakeli ko rakat niyam.
756	O canglahanto anini.	O kacanglahanto anini.	c.txt:367	O kacaglahanto anini.
762	Mafoti' Yis i cani'iw no tamina.	Mafoti' ci Yis i cani'iw no tamina.	c.txt:704	Mafoti' ci Yis i cani'iw no tamina.
798	pakacecay to kako.	Mapakacecay to kako.	c.txt:862	Mapakacecay to kako.
819	Sacekecekem ko adada ako.	Sacekecekem sa ko adada ako.	c.txt:1561	Sacekecekem sa ko adada ako.
889	Macicih namo ko tatelekan ita.	Macicih namo ko katatelekan ita.	c.txt:1063	Macicih namo ko katatelekan ita.
922	sacikacikay	sacikacikay sa	c.txt:1217	sacikacikay sa
963	sacingacinga	sacingacinga sa	c.txt:1149	sacigaciga sa
1065	paconged nira ko lalan.	Mapaconged nira ko lalan.	c.txt:1958	Mapacoged nira ko lalan.
1067	Aka paconoh to tayal iso i takowanan.	Aka pipaconoh to tayal iso i takowanan.	c.txt:2147	Aka pipaconoh to tayal iso i takowanan.
1081	Micorah i namal a nga' to cokor.	Micorah i namal a misanga' to cokor.	c.txt:2226	Micorah i namal a misaga' to cokor.
1185	sadfadefak ko pipaloma'an niyam.	Masadfadefak ko pipaloma'an niyam.	d.txt:412	Masadfadefak ko pipaloma'an niyam.
1226	nay kita to ko dadipotay.	Nanay kita to ko madadipotay.	d.txt:555	Nanay kita to ko madadipotay.
1279	fa' lohen ko faloco' iso.	Safa' lohen ko faloco' iso.	f.txt:31	Safa' lohen ko faloco' iso.
1333	Talifahal ira cingra.	Talifahal sa ira cingra.	f.txt:404	Talifahal sa ira cigra.
1337	paka'araw kako 'i, safahka' kako.	paka'araw kako 'i, safahka' sa kako.	f.txt:421	paka'araw kako 'i, safahka' sa kako.
1353	Ana: a mafalah no was kako.	Ana: a mafalah no Kawas kako.	f.txt:515	Ana: a mafalah no Kawas kako.
1368	Pafalien ko yofo.	Pafalien ko ciyofo.	f.txt:580	Pafalien ko ciyofo.
1374	Falicen a no'Amis ko sowal.	Falicen a misano'Amis ko sowal.	f.txt:605	Falicen a misano'Amis ko sowal.
1396	O mafana'ay cingra.	O samafana'ay cingra.	f.txt:718	O samafana'ay cigra.
1399	safanaway ko nanom.	Masafanaway ko nanom.	f.txt:758	Masafanaway ko nanom.
1411	O safangcalan no was kita.	O nisafangcalan no Kawas kita.	f.txt:349	O nisafagcalan no Kawas kita.
1412	palafangcal nira kako.	Mapalafangcal nira kako.	f.txt:352	Mapalafagcal nira kako.
1444	Mafasawto ko faloco' ako to saki ngraan.	Mafasawto ko faloco' ako to saki cingraan.	f.txt:877	Mafasawto ko faloco' ako to saki cigraan.
1500	fafelih ko tilid.	Mafafelih ko tilid.	f.txt:1419	Mafafelih ko tilid.
1551	Misafinawlan ko ngcah.	Misafinawlan ko Pangcah.	f.txt:1221	Misafinawlan ko Pagcah.
1554	safirofiro	safirofiro sa	f.txt:1238	safirofiro sa
1557	safita'o'ay a nanom	masafita'o'ay a nanom	f.txt:1253	masafita'o'ay a nanom
1626	safolad ko nika awa nira.	Masafolad ko nika awa nira.	f.txt:1688	Masafolad ko nika awa nira.
1631	Talafolang ko ngoyos nira.	Talafolang sa ko ngoyos nira.	f.txt:1703	Talafolag sa ko goyos nira.
1671	wiro fafoti' kiso saw?	Nawiro fafoti' sa kiso saw?	f.txt:1866	Nawiro fafoti' sa kiso saw?
1730	Mihakeno tiro Yisan.	Mihakeno ci Pitiro ci Yisan.	source/upstream/h.txt:174	Mihakeno ci Pitiro ci Yisan.
1741	Caay ka kowa ko payso ako.	Caay ka kakowa ko payso ako.	source/upstream/h.txt:259	Caay ka kakowa ko payso ako.
1786	Mihaopay ko pikowan no was.	Mihaopay ko pikowan no Kawas.	source/upstream/h.txt:452	Mihaopay ko pikowan no Kawas.
1788	Pakahapinang to faloco' ita ko was.	Pakahapinang to faloco' ita ko Kawas.	h.txt:459	Pakahapinag to faloco' ita ko Kawas.
1797	harateng kako	harateng sa kako	source/upstream/h.txt:506	harateg sa kako
1863	paherek to ko tayal nira.	Mapaherek to ko tayal nira.	source/upstream/h.txt:1183	Mapaherek to ko tayal nira.
1865	paherek to ko keter no was to raraw.	Mapaherek to ko keter no Kawas to raraw.	source/upstream/h.txt:1189	Mapaherek to ko keter no Kawas to raraw.
1899	hawitid cingra.	Mihawitid cingra.	source/upstream/h.txt:910	Mihawitid cigra.
1900	hawitid cingra.	Mahawitid cingra.	source/upstream/h.txt:913	Mahawitid cigra.
1978	samaanan iro tomangic cingra?	Nisamaanan iro tomangic cingra?	source/upstream/i.txt:279	Nisamaanan iro tomagic cigra?
1990	tiya aca	nanitiya aca	source/upstream/i.txt:365	nanitiya aca
2042	i emangan ho	i kaemangan ho	k.txt:15	i kaemagan ho
2082	hemaw a tengilen ko sowal nira.	Kahemaw a tengilen ko sowal nira.	source/upstream/k.txt:463	Kahemaw a tegilen ko sowal nira.
2083	hemaw ko faloco' ako.	Sakahemaw sa ko faloco' ako.	source/upstream/k.txt:466	Sakahemaw sa ko faloco' ako.
2139	la la^ han nangra ko nika romakat.	Kala nipila^pa han nangra ko nika romakat.	source/upstream/k.txt:680	Kala nipila^pa han nagra ko nika romakat.
2152	lamkamen ko demak.	Kalamkamen ko demak.	source/upstream/k.txt:734	Kalamkamen ko demak.
2173	kalos to fokes	mikalos to fokes	source/upstream/k.txt:798	mikalos to fokes
2274	O maan ko sapakaolah ita ngraan?	O maan ko sapakaolah ita cingraan?	k.txt:1171	O maan ko sapakaolah ita cigraan?
2278	Maolah kako a tayra a lama.	Maolah kako a tayra a misalama.	o.txt:80	Maolah kako a tayra a misalama.
2311	O ramangahay a tamdaw cingra.	O karamangahay a tamdaw cingra.	source/upstream/k.txt:1329	O karamagahay a tamdaw cigra.
2312	rapaskaay ko faloco' nira	Karapaskaay ko faloco' nira	source/upstream/k.txt:1332	Karapaskaay ko faloco' nira
2324	reteng ko faloco' ako.	Kareteng ko faloco' ako.	k.txt:1479	Kareteg ko faloco' ako.
2325	reteng ko tayal nira.	Kareteng ko tayal nira.	k.txt:1482	Kareteg ko tayal nira.
2401	sakawiliay ko demak	masakawiliay ko demak	source/upstream/k.txt:1665	masakawiliay ko demak
2407	kayakay cingra palalitemoh cangraan.	Mala kayakay cingra palalitemoh cangraan.	source/upstream/k.txt:1691	Mala kayakay cigra palalitemoh cagraan.
2412	yaten kako.	Kayaten kako.	source/upstream/k.txt:1719	Kayaten kako.
