id	source_example	source_locator	segmented_form	gloss	translation_1	translation_2	acceptability	decision	sentence_ending	word_ids
s18a	18a	PDF 6 / printed 6 / example 18a	Pa-pi-nanum ∅-ci ina ci mama-an	CAU-PI-water NOM-NCM mother NCM father-DAT	Mother asked Father to drink water.		accepted	Printed null is canonical ∅ at S original and W/M; S standard omits the null unit.	.	s18aw0 s18aw1 s18aw2 s18aw3 s18aw4
s18b	18b	PDF 6 / printed 6 / example 18b	Pa-pi-kaen-en aku ∅-ci panay t-u pawli	CAU-PI-eat-UV 1S.GEN NOM-NCM Panay DAT-NCM banana	I asked Panay to eat banana.		accepted	Printed null is canonical ∅ at S original and W/M; S standard omits the null unit.	.	s18bw0 s18bw1 s18bw2 s18bw3 s18bw4 s18bw5
s18c	18c	PDF 6 / printed 6 / example 18c	Pa-pi-cikay kaku ci panay-an	CAU-PI-run 1S.NOM NCM Panay-DAT	I ask Panay to run.	I ask Panay to join a race.	accepted	Both source free translations retained; second marked ver=alt.		s18cw0 s18cw1 s18cw2 s18cw3
s18d	18d	PDF 6 / printed 6 / example 18d	Pa-pi-cikay-en aku ∅-ci panay-an	CAU-PI-run-UV 1S.GEN NOM-NCM Panay-DAT	I will definitely ask Panay to run.	I will definitely make Panay join the race.	accepted	Both source translations retained; printed null is canonical ∅ at S original and W/M, and absent from S standard.		s18dw0 s18dw1 s18dw2 s18dw3
s20a	20a	PDF 6 / printed 6 / example 20a	Pa-cumud-en k-u haku	CAU-enter-UV NOM-NCM box	Bring the box in!		accepted	Literal grammatical source example.	.	s20aw0 s20aw1 s20aw2
s20b	20b	PDF 6 / printed 6 / example 20b	Pa-pi-cumud-en k-u wawa	CAU-PI-enter-UV NOM-NCM child	Bring the child in!		accepted	Starred haku alternative and its starred reading excluded.	!	s20bw0 s20bw1 s20bw2
s20c_person	20c	PDF 6 / printed 6 / example 20c	Pa-rakat-en cingra	CAU-walk-UV 3S.NOM	Walk with him!		accepted	The person variant ends at cingra; the explanatory parenthesis is retained as a translation note.	!	s20c_personw0 s20c_personw1
s20c_car	20c	PDF 6 / printed 6 / example 20c	Pa-rakat-en k-u-ni a paliding	CAU-walk-UV NOM-NCM-this LNK car	Drive this car!	Make this car run!	accepted	The slash alternative is expanded as a complete car variant; the i.e. reading is retained as an alternate translation.	!	s20c_carw0 s20c_carw1 s20c_carw2 s20c_carw3
s20d	20d	PDF 6 / printed 6 / example 20d	Pa-pi-rakat-en cingra	CAU-PI-walk-UV 3S.NOM	Ask him to go to walk!		accepted	Only the grammatical person variant is retained; the starred car variant is excluded.	!	s20dw0 s20dw1
s28a	28a	PDF 7 / printed 7 / example 28a	Pa-pi-nengneng-en n-i ina k-u wawa t-u wacu	CAU-PI-see-UV GEN-NCM mother NOM-NCM child DAT-NCM dog	Mother will ask the child to watch the dog.		accepted	Literal grammatical source example; starred 28b excluded.	.	s28aw0 s28aw1 s28aw2 s28aw3 s28aw4 s28aw5 s28aw6
s30a	30a	PDF 7 / printed 7 / example 30a	Pa-aca kaku t-u cudad i wawa	CAU-buy 1S.NOM DAT-NCM book PREP child	I am going to the child's place to sell the book.	I sell the book to the child.	accepted	Starred t-u case alternative excluded; both unstarred source translations retained.		s30aw0 s30aw1 s30aw2 s30aw3 s30aw4 s30aw5
s30b	30b	PDF 8 / printed 8 / example 30b	Pa-aca kaku t-u cudad i ci aki-an	CAU-buy 1S.NOM DAT-NCM book PREP NCM Aki-DAT	I sold the book to Aki.		accepted	Literal grammatical source example.		s30bw0 s30bw1 s30bw2 s30bw3 s30bw4 s30bw5 s30bw6
s30c	30c	PDF 8 / printed 8 / example 30c	Ma-pa-cakay n-i aki k-u futing ci ofad-an	UV-CAU-buy GEN-NCM Aki NOM-NCM fish NCM Ofad-DAT	Aki sold (other people's) fish to Ofad.		accepted	Literal grammatical source example; starred 30c-prime excluded.	.	s30cw0 s30cw1 s30cw2 s30cw3 s30cw4 s30cw5 s30cw6
s30d	30d	PDF 8 / printed 8 / example 30d	Ma-pa-aca n-u-ra wawa k-u hana t-u-ra kaying	UV-CAU-buy GEN-NCM-that child NOM-NCM flower DAT-NCM-that young.lady	That child sold flowers to that lady.		accepted	Literal grammatical source example; starred 30d-prime excluded.	.	s30dw0 s30dw1 s30dw2 s30dw3 s30dw4 s30dw5 s30dw6
