sentence_id,page,label,pattern_guess,alignment_status,form_token_count,gloss_token_count,original_form,parenthetical_options,form_without_option,form_all_words,gloss_line,chinese_translation,translation_has_alternative
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E008B,29,(8) b.,optional_unglossed,words_only,6,3,M-gay =ku pila sunan (ka yaku).,ka yaku,M-gay =ku pila sunan .,M-gay =ku pila sunan ka yaku.,AF-給-我 錢 你,我要給你錢。,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E008C,29,(8) c.,optional_unglossed,words_only,6,3,Ini =nami skuxul hyaan (ka yami).,ka yami,Ini =nami skuxul hyaan .,Ini =nami skuxul hyaan ka yami.,不-我們 喜歡 他,我們不喜歡他。,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011D,32,(11) d.,optional_glossed,words_only,6,5,Mgay =ku pila sunan (ka yaku.),ka yaku.,Mgay =ku pila sunan,Mgay =ku pila sunan ka yaku.,AF-給-我 錢 你 主格 我,我要給你錢。,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011E,32,(11) e.,variant_clause,words_only,8,4,N-tama ka patas gaga. = (Patas tama ka gaga.),Patas tama ka gaga.,N-tama ka patas gaga. =,N-tama ka patas gaga. = Patas tama ka gaga.,屬-爸爸 主格 書 那,那本書是爸爸的。(那個是爸爸的書),yes
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E011F,32,(11) f.,variant_clause,words_only,8,4,N-nima ka patas gaga? = (Ni-nima ka patas gaga?),Ni-nima ka patas gaga?,N-nima ka patas gaga? =,N-nima ka patas gaga? = Ni-nima ka patas gaga?,屬-誰 主格 書 那,那本書是誰的？,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E021A,38,(21) a.,variant_clause,words_only,8,3,Tqi-an =mu ka hiya. (Hiya o tqi-an =mu.),Hiya o tqi-an =mu.,Tqi-an =mu ka hiya.,Tqi-an =mu ka hiya. Hiya o tqi-an =mu.,睡-an-我 主格 那裡,我睡覺的地方是那裡。,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027A,43,(27) a.,variant_clause,words_only,7,3,Gaga =su hmuya? 40 (Ga =su hmuya?),Ga =su hmuya?,Gaga =su hmuya? 40,Gaga =su hmuya? 40 Ga =su hmuya?,正在 你 做什麼,你正在做什麼？,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027C,43,(27) c.,variant_clause,words_only,8,4,Gisu m-taqi ka hiya. (Nii m-taqi ka hiya.),Nii m-taqi ka hiya.,Gisu m-taqi ka hiya.,Gisu m-taqi ka hiya. Nii m-taqi ka hiya.,進行貌 AF-睡 主格 他,他正在睡覺。,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C01_E027E,44,(27) e.,variant_clause,words_only,10,5,Gaga bsukan ka risaw gaga. (Gisu bsukan ka risaw gaga),Gisu bsukan ka risaw gaga,Gaga bsukan ka risaw gaga.,Gaga bsukan ka risaw gaga. Gisu bsukan ka risaw gaga,進行貌 宿醉 主格 男人 那個,那個男人正在宿醉。,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E021A,84,(21) a.,variant_clause,words_only,10,5,Paru bi papak ka Lowking. =(Paru bi ka papak Lowking.),Paru bi ka papak Lowking.,Paru bi papak ka Lowking. =,Paru bi papak ka Lowking. =Paru bi ka papak Lowking.,大 很 腳 主格 人名,Lowking 的腳很大。,no
HSU_LOWKING_TRUKU_WORDFORMATION_2008_C03_E034,108,(34),variant_clause,words_only,8,4,Emp-tgsa laqi ka Lowking. = (M-tgsa laqi ka Lowking.),M-tgsa laqi ka Lowking.,Emp-tgsa laqi ka Lowking. =,Emp-tgsa laqi ka Lowking. = M-tgsa laqi ka Lowking.,emp-教 小孩 主格 人名,Lowking 將要教小孩,no
