record_id,source_locator,included_in_xml,source_original,leading_star,parenthesis_count,square_bracket_count,apostrophe_count,hyphen_count,equals_count,terminal_punctuation,translation,alternate_translation,review_status
excluded_001,PDF p. 74; printed p. 69; example (1),no,"Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.",no,0,0,0,0,0,.,I saw the man whose dog is sick.,"Which man's dog is sick, that man I saw.",rendered source page rechecked 2026-08-08
tsukida2014_seediq_S001,PDF p. 74; printed p. 69; example (2),yes,Malu ka hiyi=su?,no,0,0,0,0,1,?,Is your body well? How are you?,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S002,PDF p. 75; printed p. 70; example (3),yes,deha huliŋ kumu gaga,no,0,0,0,0,0,,Those two dogs of Kumu's,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S003,PDF p. 75; printed p. 70; example (4),yes,"Saman 'u, mawsa=nami Tehaypaq da.",no,0,0,1,0,1,.,"As for tomorrow, we will go to Taipei.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S004,PDF p. 75; printed p. 70; example (5),yes,"Sapah=na 'u, hebaraw ka patas=na.",no,0,0,1,0,2,.,"As for his house, there are many books.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S005,PDF p. 75; printed p. 70; example (6),yes,"Laqi gaga 'u, malu (ka hiya).",no,2,0,1,0,0,.,"As for that child, s/he is good.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S006,PDF p. 75; printed p. 70; example (7),yes,"Kumu 'u, b-en-arig=na laqi=na ka patas niyi.",no,0,0,1,2,2,.,"As for Kumu, she bought this book for her child.",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S007,PDF p. 75; printed p. 70; example (8),yes,"Deha laqi niyi 'u, tege'ima ka sewayi=su?",no,0,0,2,0,1,?,"As for these two children, which is your younger sibling?",,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S008,PDF p. 76; printed p. 71; example (9),yes,Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika (ka lupuŋ gaga).,no,2,0,3,1,0,.,The guest to whom that Yudaw is talking over there is from America.,,rendered source page rechecked 2026-08-08
excluded_002,PDF pp. 76-77; printed pp. 71-72; example (10),no,"Jis a:dmi ka kutta bema:r hai, us a:dmi ko mai ne dekha.",no,0,0,0,0,0,.,I saw the man whose dog is sick.,"Which man's dog is sick, that man I saw.",rendered source page rechecked 2026-08-08
excluded_003a,PDF p. 77; printed p. 72; example (11a),no,Ngatjulu-rlu kapi-rna wawirri purra-mi kutja-npa parntu-rnu nyuntulu-rlu].,no,0,1,0,6,0,.,I will cook the kangaroo that you speared.,,rendered source page rechecked 2026-08-08
excluded_003b,PDF p. 77; printed p. 72; example (11b),no,[Nyuntulu-rlu kutja-npa wawirri pantu-rnu] ngatjulu-rlu kapi-rna purra-mi.,no,0,2,0,6,0,.,I will cook the kangaroo that you speared.,,rendered source page rechecked 2026-08-08
excluded_004,PDF p. 77; printed p. 72; example (12),no,ŋan̪i wil̪a-ni yat̪a-l̪a ŋana-yi/ yinda-ṇan̪i.,no,0,0,0,4,0,.,I'll talk to the woman who is crying.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S009,PDF p. 78; printed p. 73; example (13),yes,"Ga r-em-eŋaw lupuŋ ka yudaw ga 'u, pena'ah 'Amirika.",no,0,0,3,2,0,.,Yudaw who is speaking to a/the guest is from America.,"* The guest to whom Yudaw is talking to, he is from America.",rendered source page rechecked 2026-08-08
tsukida2014_seediq_S010,PDF p. 78; printed p. 73; example (14a),no,"*Sepeg-un rubiq ka patas 'u, m-en-egay (patas) ka tama=na.",yes,2,0,1,3,1,.,,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S011,PDF p. 78; printed p. 73; example (14b),yes,"Sepeg-un rubiq ka patas 'u, b-en-egay tama=na.",no,0,0,1,3,1,.,Her father gave (her) this book which Rubiq will read.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S012,PDF p. 79; printed p. 74; example (15a),no,"*Ga reŋag-an yudaw ga ka lupuŋ 'u, b-en-iq-an=na patas ka rubiq.",yes,0,0,1,4,1,.,,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S013,PDF p. 79; printed p. 74; example (15b),yes,"Ga reŋag-an yudaw ga ka lupuŋ 'u, m-en-egay patas rebiq-an.",no,0,0,1,4,0,.,The guest to whom Yudaw is talking to will give a/the book to Rubiq.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S014,PDF p. 79; printed p. 74; example (16a),no,"*Saw 'adi mpeke-geruŋ ka peratu 'u, m-barig=ku.",yes,0,0,2,2,1,.,,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S015,PDF p. 79; printed p. 74; example (16b),yes,"Saw 'adi mpeke-geruŋ ka peratu 'u, berig-un=mu.",no,0,0,2,2,1,.,I will buy such a plate as will not break.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S016,PDF p. 79; printed p. 74; example (17a),yes,"Saw mpe-takur ka laqi 'u, pelekuh-un=na da.",no,0,0,1,2,1,.,"When the child is likely to stumble, he supports the child.",He supported the child who was likely to stumble.,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S017,PDF p. 79; printed p. 74; example (17b),yes,"Saw 'adi mpeke-geruŋ ka peratu 'u, seku-'un=mu kulu.",no,0,0,3,2,1,.,I put the plate in a box lest it should break.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S018,PDF p. 80; printed p. 75; example (18a),yes,Wada qeduriq ka se'diq [p-en-huqil rebiq-an].,no,0,2,1,3,0,.,The person who killed Rubiq escaped away.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S019,PDF p. 80; printed p. 75; example (18b),yes,Wada qeduriq ka [p-en-huqil rebiq-an ka se'diq].,no,0,2,1,3,0,.,The person who killed Rubiq escaped away.,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S020,PDF p. 80; printed p. 75; example (19a),yes,S-em-en-teruŋ=ku se'diq [m-en-uway patas rebiq-an].,no,0,2,1,6,1,.,I met [the man who gave Rubiq a book].,,rendered source page rechecked 2026-08-08
tsukida2014_seediq_S021,PDF p. 80; printed p. 75; example (19b),yes,S-em-en-teruŋ=ku [m-en-uway patas rebiq-an ka se'diq].,no,0,2,1,6,1,.,I met [the man who gave Rubiq a book].,,rendered source page rechecked 2026-08-08
excluded_005a,PDF p. 81; printed p. 76; example (20a),no,The child came first in the examination; he is very talented.,no,0,0,0,0,0,.,The child came first in the examination; he is very talented.,,rendered source page rechecked 2026-08-08
