record_id,stable_locator,source_original,source_gloss,source_translation,review_method,result
tsukida2014_seediq_S001,PDF p. 74; printed p. 69; example (2),Malu ka hiyi=su?,AV.good NOM body=2SG.GEN,Is your body well? How are you?,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S005,PDF p. 75; printed p. 70; example (6),"Laqi gaga 'u, malu (ka hiya).",child DIST PTC AV.good NOM 3SG,"As for that child, s/he is good.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S008,PDF p. 76; printed p. 71; example (9),Ga reŋag-an yudaw ga ka lupuŋ 'u pena'ah 'amirika (ka lupuŋ gaga).,DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC from America NOM guest DIST,The guest to whom that Yudaw is talking over there is from America.,manual visual comparison with official ANU PDF,pass
excluded_003a,PDF p. 77; printed p. 72; example (11a),Ngatjulu-rlu kapi-rna wawirri purra-mi kutja-npa parntu-rnu nyuntulu-rlu].,1-erg FUT-1sg kangaroo cook-nonpast rel-2sg spear-past you-erg,I will cook the kangaroo that you speared.,manual visual comparison with official ANU PDF,pass
excluded_003b,PDF p. 77; printed p. 72; example (11b),[Nyuntulu-rlu kutja-npa wawirri pantu-rnu] ngatjulu-rlu kapi-rna purra-mi.,you-erg rel-2sg kangaroo spear-past I-erg FUT-1sg cook-nonpast,I will cook the kangaroo that you speared.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S009,PDF p. 78; printed p. 73; example (13),"Ga r-em-eŋaw lupuŋ ka yudaw ga 'u, pena'ah 'Amirika.",DIST.PRG AV-talk guest NOM Yudaw DIST PTC from America,Yudaw who is speaking to a/the guest is from America.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S010,PDF p. 78; printed p. 73; example (14a),"*Sepeg-un rubiq ka patas 'u, m-en-egay (patas) ka tama=na.",read-GV1 Rubiq NOM book PTC AV-PRF-give book NOM father=3SG.GEN,,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S016,PDF p. 79; printed p. 74; example (17a),"Saw mpe-takur ka laqi 'u, pelekuh-un=na da.",like AV.FUT-stumble NOM child PTC support-GV1=3SG.GEN NS,"When the child is likely to stumble, he supports the child.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S018,PDF p. 80; printed p. 75; example (18a),Wada qeduriq ka se'diq [p-en-huqil rebiq-an].,is.gone AC.escape NOM person AV.PRF-kill Rubiq-OBL,The person who killed Rubiq escaped away.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S020,PDF p. 80; printed p. 75; example (19a),S-em-en-teruŋ=ku se'diq [m-en-uway patas rebiq-an].,AV-PRF-meet=1SG.NOM person AV-PRF-give book Rubiq-OBL,I met [the man who gave Rubiq a book].,manual visual comparison with official ANU PDF,pass
excluded_005a,PDF p. 81; printed p. 76; example (20a),The child came first in the examination; he is very talented.,,The child came first in the examination; he is very talented.,manual visual comparison with official ANU PDF,pass
excluded_005b,PDF p. 81; printed p. 76; example (20b),The child who came first in the examination is very talented.,,The child who came first in the examination is very talented.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S025,PDF pp. 81-82; printed pp. 76-77; example (24),"M-iyah=su hini 'u, me-qaras=ku.",AV-come=2SG.NOM here PTC AV-be:glad=1SG.NOM,"If you come, I would be glad.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S026,PDF p. 82; printed p. 77; example (25),"T-em-egesa 'uyas kelemukan ka tiwaŋ 'u, t-em-egesa 'uyas nihuŋ ka daway 'uri.",AV-teach song Taiwanese NOM Ciwang PTC AV-teach song Japanese NOM Daway also,"Ciwang taught Taiwanese songs, and Daway taught Japanese songs.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S029,PDF p. 83; printed p. 78; duplicate-labeled example (27),"[P-en-huqil rebiq-an ka se'diq] 'u, wada qeduriq.",AV.PRF-kill Rubiq-OBL NOM person PTC is.gone AV.escape,The person who killed Rubiq escaped.,manual visual comparison with official ANU PDF,pass
excluded_006,PDF p. 83; printed p. 78; example (28a),"Kumuᵢ 'u, b-en-arig=naᵢ laqi=na ka patas niyi.",Kumu PTC CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX,"As for Kumu, she bought this book for her child.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S031,PDF p. 83; printed p. 78; example (29),*B-en-arig [ga reŋag-an yudaw ga ka lupuŋ] laqi=na ka patas niyi.,CV.PRF-buy DIST.PRG talk-GV2 Yudaw DIST NOM guest child=3SG.GEN NOM book PRX,The guest to whom Yudaw is talking tobought this for her/his child.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S002,PDF p. 75; printed p. 70; example (3),deha huliŋ kumu gaga,two dog Kumu DIST,Those two dogs of Kumu's,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S003,PDF p. 75; printed p. 70; example (4),"Saman 'u, mawsa=nami Tehaypaq da.",tomorrow PTC AV.FUT.go=1PLEX.NOM Taipei NS,"As for tomorrow, we will go to Taipei.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S004,PDF p. 75; printed p. 70; example (5),"Sapah=na 'u, hebaraw ka patas=na.",house=3SG.GEN PRT AV.many NOM book=3SG.GEN,"As for his house, there are many books.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S006,PDF p. 75; printed p. 70; example (7),"Kumu 'u, b-en-arig=na laqi=na ka patas niyi.",Kumu PRT CV.PRF-buy=3SG.GEN child=3SG.GEN NOM book PRX,"As for Kumu, she bought this book for her child.",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S007,PDF p. 75; printed p. 70; example (8),"Deha laqi niyi 'u, tege'ima ka sewayi=su?",two child PRX PRT which NOM younger.sibling=2SG.GEN,"As for these two children, which is your younger sibling?",manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S011,PDF p. 78; printed p. 73; example (14b),"Sepeg-un rubiq ka patas 'u, b-en-egay tama=na.",read-GV1 Rubiq NOM book PTC CV.PRF-give father=3SG.GEN,Her father gave (her) this book which Rubiq will read.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S013,PDF p. 79; printed p. 74; example (15b),"Ga reŋag-an yudaw ga ka lupuŋ 'u, m-en-egay patas rebiq-an.",DIST.PRG talk-GV2 Yudaw DIST NOM guest PTC AV-PRF-give book Rubiq-OBL,The guest to whom Yudaw is talking to will give a/the book to Rubiq.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S015,PDF p. 79; printed p. 74; example (16b),"Saw 'adi mpeke-geruŋ ka peratu 'u, berig-un=mu.",like NEG AV.FUT-break NOM plate PTC buy-GV1=1SG.GEN,I will buy such a plate as will not break.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S017,PDF p. 79; printed p. 74; example (17b),"Saw 'adi mpeke-geruŋ ka peratu 'u, seku-'un=mu kulu.",like NEG AV.FUT-break NOM plate PTC put-GV1=1SG.GEN box,I put the plate in a box lest it should break.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S019,PDF p. 80; printed p. 75; example (18b),Wada qeduriq ka [p-en-huqil rebiq-an ka se'diq].,is.gone AV.escape NOM AV.PRF-kill Rubiq-OBL NOM person,The person who killed Rubiq escaped away.,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S021,PDF p. 80; printed p. 75; example (19b),S-em-en-teruŋ=ku [m-en-uway patas rebiq-an ka se'diq].,AV-PRF-meet=1SG.NOM AV-PRF-give book Rubiq-OBL NOM person,I met [the man who gave Rubiq a book].,manual visual comparison with official ANU PDF,pass
tsukida2014_seediq_S022,PDF p. 81; printed p. 76; example (21),"Adi mpe-sepug ka laqi 'u, seku-i haya.",NEG AV.FUT-read NOM child PTC put.away-GV.NFIN BEN,"As the child will not read, put it away.",manual visual comparison with official ANU PDF,pass
