id,verdict,fragment,source
Amis_fc473c9e-8a33-f011-8fad-000d3a8250a0,dropped,"Yo miparakat kako to paliding i, fahal sa ira ko waco^ miʼadifat, hatomi^/foliki^ han ako ko paliding.","Yo miparakat kako to paliding i, fahal sa ira ko waco^ miʼadifat, hatomi^/foliki^ han ako ko paliding."
Amis_47c9a14e-af0a-f011-bd65-00155db40116,dropped,"Yo miparakat kako to paliding, fahal sa ira ko waco^ miʼadifat, hatomi^ / foliki^ han ako ko paliding.","Yo miparakat kako to paliding, fahal sa ira ko waco^ miʼadifat, hatomi^ / foliki^ han ako ko paliding."
Amis_9203b93c-af0a-f011-bd65-00155db40116,dropped,"Yo miparakat kako to paliding, fahal sa ira ko waco^ miʼadifat, hatomi^/foliki^ han ako ko paliding.","Yo miparakat kako to paliding, fahal sa ira ko waco^ miʼadifat, hatomi^/foliki^ han ako ko paliding."
Atayal_dd63fb08-b90a-f011-bd65-00155db40116,dropped,"nanu zywaw su soni, swa / swaʼ su / suʼ i tbah / mtbah mwah thzigal squ ngasal mu / makuʼ.","(nanu zywaw su soni) / (kmnswa su ryax soni qani) / (mswaʼ suʼ sawniʼ) , swa / swaʼ su / suʼ i tbah / mtbah mwah thzigal squ ngasal mu / makuʼ."
Atayal_dd63fb08-b90a-f011-bd65-00155db40116,dropped,"kmnswa su ryax soni qani, swa / swaʼ su / suʼ i tbah / mtbah mwah thzigal squ ngasal mu / makuʼ.","(nanu zywaw su soni) / (kmnswa su ryax soni qani) / (mswaʼ suʼ sawniʼ) , swa / swaʼ su / suʼ i tbah / mtbah mwah thzigal squ ngasal mu / makuʼ."
Atayal_dd63fb08-b90a-f011-bd65-00155db40116,dropped,"mswaʼ suʼ sawniʼ, swa / swaʼ su / suʼ i tbah / mtbah mwah thzigal squ ngasal mu / makuʼ.","(nanu zywaw su soni) / (kmnswa su ryax soni qani) / (mswaʼ suʼ sawniʼ) , swa / swaʼ su / suʼ i tbah / mtbah mwah thzigal squ ngasal mu / makuʼ."
Atayal_55f80203-b90a-f011-bd65-00155db40116,resolved,,1. cyux su maniq bway nanu? 2. cyux suʼ maniq bway nanuʼ?
Atayal_42b20afd-b80a-f011-bd65-00155db40116,resolved,,"1.ana ( tmuyaw na pilaʼ ) / ( makiʼ pyux pilaʼ nya ga ), ungat qu pnqas / pinqasan nyaʼ."
Atayal_45b20afd-b80a-f011-bd65-00155db40116,dropped,"aw, (ʼsay taʼ kya) / (ungat htyalan nya)","1.aw, (ʼsay taʼ kya) / (ungat htyalan nya) 2.aw. baqun makuʼ al. (好,我知道了)"
Atayal_45b20afd-b80a-f011-bd65-00155db40116,resolved,,"1.aw, (ʼsay taʼ kya) / (ungat htyalan nya) 2.aw. baqun makuʼ al. (好,我知道了)"
Atayal_ddf80203-b90a-f011-bd65-00155db40116,resolved,,1.bengun nya qbaʼ ni yaki. 2.cyux meng qbaʼ na yaki hya.
Atayal_a6f40203-b90a-f011-bd65-00155db40116,resolved,,"1.bniruʼ / bniru qani ga, iyat hiya mniruʼ / mniru. 2.iyat nyaʼ / nya bniruʼ / bniru qu biruʼ / biru qani."
Atayal_dbb20afd-b80a-f011-bd65-00155db40116,resolved,,1.bnkis qasa ga kya qeru pgan kawas nya la. 2.qeruʼ pgan kawas na bnkis qasa la.
Atayal_def80203-b90a-f011-bd65-00155db40116,resolved,,1.bzyok qasa ga wal nya sʼagal rumaʼ metaq ru mhoqil la. 2.baytaqan / btaqan nyaʼ / nya na rumaʼ / ruma qu bzywak / bzyok qnhyun ru wal mhuqil la.
Atayal_31152ac2-8a33-f011-8fad-000d3a8250a0,resolved,,1.cyux / nyux muluw qutux blaq na pcywagun / ptcyogun / pcyogun ywaw la.2.cxyu lawkah nʼa yutas suʼ ga?(你的爺爺還健在嗎?)
Atayal_ecdf24cb-8867-f011-8fae-000d3a8250a0,resolved,,1.cyux / nyux muluw qutux blaq na ptzywawgun / ptcyogun / pcyogun ywaw la. 2.cxyu lawkah nʼa yutas suʼ ga?(你的爺爺還健在嗎?)
Atayal_146430bc-8a33-f011-8fad-000d3a8250a0,resolved,,1.cyux / nyux muluw qutux blaq na ptzywawgun / ptcyogun / pcyogun ywaw la.2.cxyu lawkah nʼa yutas suʼ ga?(你的爺爺還健在嗎?)
Atayal_dd5efb08-b90a-f011-bd65-00155db40116,resolved,,1.cyux mxal tariʼ / tari nya / nyaʼ.
Atayal_e35efb08-b90a-f011-bd65-00155db40116,resolved,,1.hiya ga baq balay mqwas qwas ru myugiy uzi. 2.baq mqwas ru mzyugiʼ qu hiyaʼ.
Atayal_ac64fb08-b90a-f011-bd65-00155db40116,resolved,,1.hiya qu yaya su ga? 2.hiya / hiyaʼ ga yaya su / suʼ ga?
Atayal_b7fa0203-b90a-f011-bd65-00155db40116,resolved,,1.hiyaʼ / hiya ga cyux mqbubuʼ / mqbubu. 2.cyux mqbubu qu hiya / hiyaʼ.
Atayal_73f90203-b90a-f011-bd65-00155db40116,resolved,,"1.hiyaʼ / hiya ga, mhmut balay ru mihiy rqyas muʼ / mu. 2.swaʼ cyux mihi squliq qu Yumin lpi?(Yumin怎麼在打人了呢?)"
Atayal_db5efb08-b90a-f011-bd65-00155db40116,resolved,,1.hmtung qhoniq. 2.inblaq mwak qutux qsinu qani.(好好剖這隻動物)
Atayal_22f40203-b90a-f011-bd65-00155db40116,resolved,,"1.ina / inaʼ nya / nyaʼ qu qroyux / qruzyux snonux / saynunux qasa. 2.inaʼ nyaʼ ga, qroyux snonux qasaʼ ."
Atayal_1a062fc8-8a33-f011-8fad-000d3a8250a0,resolved,,"1.ina / inaʼ nya / nyaʼ qu qroyux / qruzyux snonux / saynunux qasa.2.inaʼ nyaʼ ga, qroyux snonux qasaʼ ."
Atayal_a4f40203-b90a-f011-bd65-00155db40116,dropped,irah mu / maku ga mlukus mtalah na skato / thawak.,1.irah mu / maku ga mlukus mtalah na skato / thawak. 2.cyux （thawak mtalah） / （mlukus mtalah na thawak） qu irah maku / makuʼ.
Atayal_a4f40203-b90a-f011-bd65-00155db40116,resolved,,1.irah mu / maku ga mlukus mtalah na skato / thawak. 2.cyux （thawak mtalah） / （mlukus mtalah na thawak） qu irah maku / makuʼ.
Atayal_aef40203-b90a-f011-bd65-00155db40116,resolved,,1.kagang ga kya spat kakay nya / nyaʼ. 2.kya mspat kakay na kmagang.
Atayal_10fc0203-b90a-f011-bd65-00155db40116,resolved,,1.kahul squ mhuziq na qbaʼ ssweʼ mlikuy mhotaw qu sekeng la. 2.wal mthgus siking squ qbaʼ ni ssway mlikuy la.
Atayal_0cfa0203-b90a-f011-bd65-00155db40116,dropped,kun ga mlikuy / laqi mlikuy.,1.kun ga mlikuy / laqi mlikuy. 2.mlikuy sakuʼ.
Atayal_0cfa0203-b90a-f011-bd65-00155db40116,resolved,,1.kun ga mlikuy / laqi mlikuy. 2.mlikuy sakuʼ.
Atayal_a3fb0203-b90a-f011-bd65-00155db40116,dropped,mopuw / mawpu kawas pinhriqan / cinʼalax myan la ru (ini ku nya zyngiy ) / (baqun sakuʼ nya) na ga?,"1.kun ki hiya ga, mpuw kawas ptʼ laxan myan la, ini sakuʼ nyaʼ kzngiʼ na ga? 2.mopuw / mawpu kawas pinhriqan / cinʼalax myan la ru (ini ku nya zyngiy ) / (baqun sakuʼ nya) na ga?"
Atayal_a3fb0203-b90a-f011-bd65-00155db40116,resolved,,"1.kun ki hiya ga, mpuw kawas ptʼ laxan myan la, ini sakuʼ nyaʼ kzngiʼ na ga? 2.mopuw / mawpu kawas pinhriqan / cinʼalax myan la ru (ini ku nya zyngiy ) / (baqun sakuʼ nya) na ga?"
Atayal_51450fe0-8a33-f011-8fad-000d3a8250a0,dropped,mopuw / mawpu kawas pinhriqan / cinʼalax myan la ru (ini ku nya zyngiy ) / (baqun sakuʼ nya) na ga?,"1.kun ki hiya ga, mpuw kawas ptʼ laxan myan la, ini sakuʼ nyaʼ zngiy na ga? 2.mopuw / mawpu kawas pinhriqan / cinʼalax myan la ru (ini ku nya zyngiy ) / (baqun sakuʼ nya) na ga?"
Atayal_51450fe0-8a33-f011-8fad-000d3a8250a0,resolved,,"1.kun ki hiya ga, mpuw kawas ptʼ laxan myan la, ini sakuʼ nyaʼ zngiy na ga? 2.mopuw / mawpu kawas pinhriqan / cinʼalax myan la ru (ini ku nya zyngiy ) / (baqun sakuʼ nya) na ga?"
Atayal_0afc0203-b90a-f011-bd65-00155db40116,resolved,,1.kya nanu qu zywaw cyux mtciriq nha? 2.iniʼ baqi swaʼ cyux mtciriq qu nhaʼ.
Atayal_bc61fb08-b90a-f011-bd65-00155db40116,dropped,kya(maki) mpatul / mspatul setoʼ / seto myan.,1.kya(maki) mpatul / mspatul setoʼ / seto myan. 2.mpatul hiʼ kwaraʼ setoʼ myan.
Atayal_bc61fb08-b90a-f011-bd65-00155db40116,resolved,,1.kya(maki) mpatul / mspatul setoʼ / seto myan. 2.mpatul hiʼ kwaraʼ setoʼ myan.
Atayal_19fc0203-b90a-f011-bd65-00155db40116,resolved,,1.kyalun ku ni yayaʼ / yaya mhaʼ / mha agal mami cyux mtrngil babaw rqyas ssweʼ / sswe / ssway su mlikuy. 2.agal cikay qu bwax mami cyux tqlah sa rqyas na sswe su mlikuy qasa son ku ni yaya.
Atayal_9e62fb08-b90a-f011-bd65-00155db40116,resolved,,1.laxi giway stamaʼ / stama hiya / hiyaʼ. 2.laxi ani sintama hiya kwara.
Atayal_c61d28ce-8a33-f011-8fad-000d3a8250a0,resolved,,1.laxi giway stamaʼ / stama hiya / hiyaʼ.2.laxi ani sintama hiya kwara.
Atayal_7cf60203-b90a-f011-bd65-00155db40116,resolved,,1.laxi hmut magal qqaya / qayqayaʼ bniq na squliq. 2.mwah miq nnanu qu squliq ga laxi hmciy magal.
Atayal_0bfa0203-b90a-f011-bd65-00155db40116,dropped,mlikuy mu / muʼ wal / mnwah ptnep syaw bsilung hera / heraʼ.,1.mlikuy mu / muʼ wal / mnwah ptnep syaw bsilung hera / heraʼ. 2.mnwah psabuʼ qulih shiraʼ qu mlikuy makuʼ.
Atayal_0bfa0203-b90a-f011-bd65-00155db40116,resolved,,1.mlikuy mu / muʼ wal / mnwah ptnep syaw bsilung hera / heraʼ. 2.mnwah psabuʼ qulih shiraʼ qu mlikuy makuʼ.
Atayal_2b152ac2-8a33-f011-8fad-000d3a8250a0,dropped,mlikuy mu / muʼ wal / mnwah ptnep syaw bsilung hera / heraʼ.,1.mlikuy mu / muʼ wal / mnwah ptnep syaw bsilung hera / heraʼ.2.mnwah psabuʼ qulih shiraʼ qu mlikuy makuʼ.
Atayal_2b152ac2-8a33-f011-8fad-000d3a8250a0,resolved,,1.mlikuy mu / muʼ wal / mnwah ptnep syaw bsilung hera / heraʼ.2.mnwah psabuʼ qulih shiraʼ qu mlikuy makuʼ.
Atayal_17fa0203-b90a-f011-bd65-00155db40116,resolved,,"1.mnguciq suʼ / su ga, swaʼ suʼ / su ini baqiʼ mung? 2.mnguciq iyal huzil qani.(這隻狗很笨)"
Atayal_375ffb08-b90a-f011-bd65-00155db40116,dropped,"mnisan / nisan sakuʼ / ku masuq kgabiʼ / kgabi, ini ku kʼuyay na.","1.mnisan / nisan sakuʼ / ku masuq kgabiʼ / kgabi, ini ku kʼuyay na. 2.nisan wayal qu Taymuʼ.(Taymuʼ剛剛離開)"
Atayal_375ffb08-b90a-f011-bd65-00155db40116,resolved,,"1.mnisan / nisan sakuʼ / ku masuq kgabiʼ / kgabi, ini ku kʼuyay na. 2.nisan wayal qu Taymuʼ.(Taymuʼ剛剛離開)"
Atayal_1dfa0203-b90a-f011-bd65-00155db40116,resolved,,1.mnwah qu rangiʼ sheraʼ. 2.mnwah shera / shiraʼ qu rangi / rangiʼ.
Atayal_7df60203-b90a-f011-bd65-00155db40116,resolved,,"1.msbehuy ga laxiʼ / laxi usa mlngyaq. 2.laxi hmut musa mzwi syaw bsilung gi inkoxun balay hunluy nya. (不要隨意到河邊玩,淹水很危險)"
Atayal_13f40203-b90a-f011-bd65-00155db40116,dropped,"mung cikay / ana cipoq hngyang lga, mnkux ru mngunguʼ / mngunguʼ mzzywaw la.","1.mung cikay / ana cipoq hngyang lga, mnkux ru mngunguʼ / mngunguʼ mzzywaw la. 2.ana cikuy balay na hngzyang lga mnkux mngungu qu inlungan nya la."
Atayal_13f40203-b90a-f011-bd65-00155db40116,resolved,,"1.mung cikay / ana cipoq hngyang lga, mnkux ru mngunguʼ / mngunguʼ mzzywaw la. 2.ana cikuy balay na hngzyang lga mnkux mngungu qu inlungan nya la."
Atayal_54f80203-b90a-f011-bd65-00155db40116,resolved,,1.musa ku maniq mami la. 2.mosa ku maniq mami la. 3.musaʼ sakuʼ maniq mamiʼ la.
Atayal_d05efb08-b90a-f011-bd65-00155db40116,resolved,,1.muʼ qutux paraʼ qu qsuyan maku mlikuy. 2.qbsuyan mu mlikuy ga wal ptlu mu qutux para.
Atayal_e85efb08-b90a-f011-bd65-00155db40116,dropped,nanak isu musaʼ / thuyay / nyux baq.,1.nanak isu musaʼ / thuyay / nyux baq. 2.nanak isuʼ baq.
Atayal_e85efb08-b90a-f011-bd65-00155db40116,resolved,,1.nanak isu musaʼ / thuyay / nyux baq. 2.nanak isuʼ baq.
Atayal_79f60203-b90a-f011-bd65-00155db40116,resolved,,1.nanu lalu su ? 2.ima / imaʼ lalu su / suʼ?
Atayal_5cf70203-b90a-f011-bd65-00155db40116,dropped,sbiq / biqan na gluw qu mtalah phpah sswe mu kneril.,1.nyux miq mtalah phpah ssway knayril qu lpyung. 2.sbiq / biqan na gluw qu mtalah phpah sswe mu kneril.
Atayal_5cf70203-b90a-f011-bd65-00155db40116,resolved,,1.nyux miq mtalah phpah ssway knayril qu lpyung. 2.sbiq / biqan na gluw qu mtalah phpah sswe mu kneril.
Atayal_89b30afd-b80a-f011-bd65-00155db40116,dropped,pinqasuw / qinsugan taʼ / ta ga yal cikuy / cipoq hazi sunan.,1.pinqasuw / qinsugan taʼ / ta ga yal cikuy / cipoq hazi sunan. 2.sawbih tayhuk ryax na pinsmyan la.(快要過年了)
