rule_id,file,s_id,character,position,form_before,form_after
c031,Final_XML/Stories/Amis/Amis_Amis_Nr-frog_cinhua.xml,Amis_Nr-frog_cinhua_S_14,',20,itini i hakini tuna 'pung sa'an ku falucu' nira a miceli'.,"itini i hakini tuna ""pung sa'an ku falucu' nira a miceli""."
c031,Final_XML/Stories/Amis/Amis_Amis_Nr-frog_cinhua.xml,Amis_Nr-frog_cinhua_S_14,',56,itini i hakini tuna 'pung sa'an ku falucu' nira a miceli'.,"itini i hakini tuna ""pung sa'an ku falucu' nira a miceli""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_3,',31,kita'en takem ray binbinisitan 'izo'.,"kita'en takem ray binbinisitan ""izo""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_3,',35,kita'en takem ray binbinisitan 'izo'.,"kita'en takem ray binbinisitan ""izo""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_4,',0,'aehoe' mwai' ila kita' oyae'.,"""aehoe' mwai' ila kita' oyae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_4,',28,'aehoe' mwai' ila kita' oyae'.,"""aehoe' mwai' ila kita' oyae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_13,',0,'in'aray ray hinoehas sahae' ila.,"""in'aray ray hinoehas sahae"" ila."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_13,',27,'in'aray ray hinoehas sahae' ila.,"""in'aray ray hinoehas sahae"" ila."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_14,',19,korkoring kita' ka 'aehoe' sisahae'.,"korkoring kita' ka ""aehoe' sisahae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_14,',34,korkoring kita' ka 'aehoe' sisahae'.,"korkoring kita' ka ""aehoe' sisahae""."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_23,',4,hiza' korkoring sakosiza ka minathang 'oe'oe.,"hiza"" korkoring sakosiza ka minathang ""oe'oe."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_23,',38,hiza' korkoring sakosiza ka minathang 'oe'oe.,"hiza"" korkoring sakosiza ka minathang ""oe'oe."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_28,',0,'aehoe' tay'itol ponteteen ka kaehoey.,"""aehoe"" tay'itol ponteteen ka kaehoey."
c031,Final_XML/Stories/Saisiyat/Saisiyat_SaiNr-frog1_bownay a tahes.xml,SaiNr-frog1_bownay a tahes_S_28,',6,'aehoe' tay'itol ponteteen ka kaehoey.,"""aehoe"" tay'itol ponteteen ka kaehoey."
