language,file_name,Sentence_id,sentence
Atayal,AtaNr-moving_Takun,"[106, 109]",gini'un taal ga aqih gi qaat kuing i sinlanga'an sinvilan kai’ nku navakis sunga' ga.
Seediq,sdqNr-childhood_micang 2020s,"[105, 107]",mesa ka uh anu ka tnheyaqan ga hmuwa da n isu nii ma i ga su ini ciya di si.
Seediq,sdqNr-childhood_micang 2020s,[108],o mesa ku.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[98, 100]",asi naq a .
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[101, 107]",o eniqan un hmuwa ye su maha bale ye su.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[108, 111]",ha maha ku so.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[122, 128]",o naqah wa ini ku gdema musa mi musa m mdamac m mteme seediq ga gmeeluk pila taicu hi wa.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[177, 179]",ma ma maha namu ngerac dungan kiya ga hmuwa.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[180, 181]",ga hmuwa.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[182, 191]",meyah knuwan detumun di.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[198, 211]",inu kiya wa saya wa saya.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[212, 214]",ma maha kelaun moda maha德國.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[219, 220]",ado ku uncuin na pmahun ku daha de.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[221, 223]",kii.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[235, 236]",mnarux naqah kiya wa.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[237, 239]",uxe so hari yani uxe pqbsiyaq.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[240, 242]",iya kmheti rmengo.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[243, 246]",wada sapah na saya di.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[253, 255]",hei hei mnnanang paru seediq kii cbeyo.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[256, 260]",kiya naqah qitaan.
Seediq,sdqCon-dialog5_dakis_takun 2020s,"[263, 269]",meyah do ga smiling a laqi rseno nii.
