pdf_page	printed_page	contents	disposition	review_status
1	1	Title, abstract, dialect/source note, map	Metadata and Coastal-dialect evidence recorded; no interlinear sentence examples	reviewed
2	2	Introduction, example 2, abbreviation key	Example 2 duplicates retained example 20 and is recorded in the rejection ledger	reviewed
3	3	Role and Reference Grammar framework	No Amis interlinear sentence examples	reviewed
4	4	Role and Reference Grammar framework	No Amis interlinear sentence examples	reviewed
5	5	Root-category tables and lexical examples	Lexical table entries are outside the sentence-example corpus; no interlinear sentence records	reviewed
6	6	Examples 18 and 20	All grammatical variants inventoried; starred alternatives excluded with reasons	reviewed
7	7	Examples 28 and 30a	All grammatical variants inventoried; starred example and alternative excluded with reasons	reviewed
8	8	Examples 30b-d and 32	All grammatical variants inventoried; starred examples and alternatives excluded with reasons	reviewed
9	9	Examples 33 and 36a-b	All grammatical variants inventoried; starred examples and reading excluded with reasons	reviewed
10	10	Examples 36c, 37, and 38	All grammatical variants inventoried; starred and questionable examples excluded with reasons	reviewed
11	11	Conclusion	No Amis interlinear sentence examples	reviewed
12	12	References	No corpus records	reviewed
13	13	Conference citation page	Citation metadata checked; no corpus records	reviewed
